,airline_link,airline_name,airline_iata,airline_icao
0,https://en.wikipedia.org/wiki/Air_Canada_Rouge,Air Canada Rouge,RV,ROU[1]
1,https://en.wikipedia.org/wiki/American_Airlines,American Airlines,AA[1],AAL[1]
2,https://en.wikipedia.org/wiki/Azores_Airlines,Azores Airlines,S4,RZO
3,https://en.wikipedia.org/wiki/British_Airways,British Airways,BA,BAW; SHT
4,https://en.wikipedia.org/wiki/Delta_Air_Lines,Delta Air Lines,DL,DAL
5,https://en.wikipedia.org/wiki/JetBlue,JetBlue,B6,JBU
6,https://en.wikipedia.org/wiki/United_Airlines,United Airlines,UA,UAL
7,https://en.wikipedia.org/wiki/WestJet,WestJet,WS,WJA[1]
8,https://en.wikipedia.org/wiki/Air_Canada,Air Canada,AC,ACA[1]
9,https://en.wikipedia.org/wiki/Air_Canada_Express,Air Canada Express,AC,ACA
10,https://en.wikipedia.org/wiki/Air_North,Air North,4N,ANT[1]
11,https://en.wikipedia.org/wiki/Air_Transat,Air Transat,TS,TSC[1]
12,https://en.wikipedia.org/wiki/Alaska_Airlines,Alaska Airlines,AS,ASA
13,https://en.wikipedia.org/wiki/Canadian_North,Canadian North,5T,AKT[1]
14,https://en.wikipedia.org/wiki/Delta_Connection,Delta Connection,DL,DAL
15,https://en.wikipedia.org/wiki/Edelweiss_Air,Edelweiss Air,WK[1],EDW
16,https://en.wikipedia.org/wiki/Eurowings_Discover,Eurowings Discover,4Y,OCN[1]
17,https://en.wikipedia.org/wiki/Flair_Airlines,Flair Airlines,F8[1],FLE[2]
18,https://en.wikipedia.org/wiki/KLM,KLM,KL,KLM
19,https://en.wikipedia.org/wiki/Lynx_Air,Lynx Air,Y9,DAT[1]
20,https://en.wikipedia.org/wiki/Porter_Airlines,Porter Airlines,PDP3[1],POE[2]
21,https://en.wikipedia.org/wiki/Sunwing_Airlines,Sunwing Airlines,WG,SWG[1]
22,https://en.wikipedia.org/wiki/United_Express,United Express,UA,UAL
23,https://en.wikipedia.org/wiki/WestJet_Encore,WestJet Encore,WR,WEN[1]
24,https://en.wikipedia.org/wiki/WestJet_Link,WestJet Link,See Operators,See Operators
25,https://en.wikipedia.org/wiki/Central_Mountain_Air,Central Mountain Air,9M,GLR[1]
26,https://en.wikipedia.org/wiki/Condor_(airline),Condor (airline),DE[1],CFG
27,https://en.wikipedia.org/wiki/Northwestern_Air,Northwestern Air,J3,PLR[1]
28,https://en.wikipedia.org/wiki/Swoop_(airline),Swoop (airline),WO,WSW[1]
29,https://en.wikipedia.org/wiki/Northern_Air_(Canada),Northern Air Charter,—,NLI[1]
30,https://en.wikipedia.org/wiki/Pacific_Coastal_Airlines,Pacific Coastal Airlines,8P,PCO[1]
31,https://en.wikipedia.org/wiki/North_Cariboo_Air,North Cariboo Air,-,NCB[1]
32,https://en.wikipedia.org/wiki/Northern_Thunderbird_Air,Northern Thunderbird Air,-,NTA[1]
33,https://en.wikipedia.org/wiki/R1_Airlines,R1 Airlines,-,TSH[1]
34,https://en.wikipedia.org/wiki/Summit_Air,Summit Air,-,SUT[1]
35,https://en.wikipedia.org/wiki/Aerom%C3%A9xico,Aeroméxico,AM,AMX
36,https://en.wikipedia.org/wiki/Air_China,Air China,CA,CCA
37,https://en.wikipedia.org/wiki/Air_France,Air France,AF,AFR
38,https://en.wikipedia.org/wiki/Air_India,Air India,AI[1],AIC[1]
39,https://en.wikipedia.org/wiki/Air_New_Zealand,Air New Zealand,NZ,ANZ
40,https://en.wikipedia.org/wiki/All_Nippon_Airways,All Nippon Airways,NH,ANA
41,https://en.wikipedia.org/wiki/American_Eagle_(airline_brand),American Eagle (airline brand),AA,AAL
42,https://en.wikipedia.org/wiki/Canada_Jetlines,Canada Jetlines,AU,CJL[1]
43,https://en.wikipedia.org/wiki/Cathay_Pacific,Cathay Pacific,CX,CPA
44,https://en.wikipedia.org/wiki/China_Airlines,China Airlines,CI,CAL
45,https://en.wikipedia.org/wiki/China_Eastern_Airlines,China Eastern Airlines,MU,CES
46,https://en.wikipedia.org/wiki/EVA_Air,EVA Air,BR,EVA
47,https://en.wikipedia.org/wiki/Fiji_Airways,Fiji Airways,FJ,FJI
48,https://en.wikipedia.org/wiki/Hainan_Airlines,Hainan Airlines,HU,CHH
49,https://en.wikipedia.org/wiki/Harbour_Air_Seaplanes,Harbour Air Seaplanes,YB[1],HR[2]
50,https://en.wikipedia.org/wiki/Helijet,Helijet,JB,JBA[1]
51,https://en.wikipedia.org/wiki/Icelandair,Icelandair,FI,ICE
52,https://en.wikipedia.org/wiki/Japan_Airlines,Japan Airlines,JL,JAL
53,https://en.wikipedia.org/wiki/Korean_Air,Korean Air,KE,KAL
54,https://en.wikipedia.org/wiki/Lufthansa,Lufthansa,LH,DLH
55,https://en.wikipedia.org/wiki/Philippine_Airlines,Philippine Airlines,PR,PAL
56,https://en.wikipedia.org/wiki/Qantas,Qantas,QF,QFA
57,https://en.wikipedia.org/wiki/Sichuan_Airlines,Sichuan Airlines,3U,CSC
58,https://en.wikipedia.org/wiki/Singapore_Airlines,Singapore Airlines,SQ,SIA
59,https://en.wikipedia.org/wiki/Sun_Country_Airlines,Sun Country Airlines,SY,SCX
60,https://en.wikipedia.org/wiki/Turkish_Airlines,Turkish Airlines,TK,THY
61,https://en.wikipedia.org/wiki/XiamenAir,XiamenAir,MF,CXA
62,https://en.wikipedia.org/wiki/Harbour_Air,Harbour Air Seaplanes,YB[1],HR[2]
63,https://en.wikipedia.org/wiki/Calm_Air,Calm Air,MO,CAV[1]
64,https://en.wikipedia.org/wiki/Northway_Aviation,Northway Aviation,—,NAL[2]
65,https://en.wikipedia.org/wiki/Perimeter_Aviation,Perimeter Aviation,JV[1],PAG[2]
66,https://en.wikipedia.org/wiki/Bearskin_Airlines,Bearskin Airlines,JV,BLS[1]
67,https://en.wikipedia.org/wiki/PAL_Airlines,PAL Airlines,PB,PVL[1]
68,https://en.wikipedia.org/wiki/Air_Borealis,PAL Airlines,PB,PVL[1]
69,https://en.wikipedia.org/wiki/Air_Saint-Pierre,Air Saint-Pierre,PJ,SPM
70,https://en.wikipedia.org/wiki/Air_Inuit,Air Inuit,3H[1],AIE[2]
71,https://en.wikipedia.org/wiki/Pascan_Aviation,Pascan Aviation,P6,PSC[1]
72,https://en.wikipedia.org/wiki/North-Wright_Airways,North-Wright Airways,HW,NWL[1]
73,https://en.wikipedia.org/wiki/Aklak_Air,Aklak Air,6L,—
74,https://en.wikipedia.org/wiki/Air_Tindi,Air Tindi,8T,TIN[1]
75,https://en.wikipedia.org/wiki/Kivalliq_Air,Keewatin Air,FK,KEW[1]
76,https://en.wikipedia.org/wiki/Kenn_Borek_Air,Kenn Borek Air,4K,KBA[1]
77,https://en.wikipedia.org/wiki/Air_Nunavut,Air Nunavut,N/A,BFF[1]
78,https://en.wikipedia.org/wiki/Chrono_Aviation,Chrono Aviation,MB*,NDL[1]MBK[2]
79,https://en.wikipedia.org/wiki/Nolinor_Aviation,Nolinor Aviation,N5,NRL[1]
80,https://en.wikipedia.org/wiki/Air_Creebec,Air Creebec,YN[1],CRQ[2]
