,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
0,Q1430826,Aktau Airport,UATE,SCO,183350,51.091944444444,43.86,22,3052,1029685,1068000,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_Kazakhstan#Kazakhstan's_busiest_airports_by_passenger_traffic_in_2019,https://en.wikipedia.org/wiki/Aktau_International_Airport,SCO,UATE,"1,023,900",,(2018)
1,Q1430836,Aktobe Airport,UATT,AKX,387807,57.203333,50.245,225,,,411248,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_Kazakhstan,https://en.wikipedia.org/wiki/Aktobe_International_Airport,AKX,UATT,,,
2,Q858844,Almaty International Airport,UAAA,ALA,1916822,77.040555555556,43.351944444444,680.9245404,4500,6422721,7230156,https://www.alaport.com/en/news/ALAPORT-RESULTS.-THE-PASSENGER-FLOW-OF-THE-ALMATY-INTERNATIONAL-AIRPORT-IS-GROWING,https://en.wikipedia.org/wiki/Almaty_International_Airport,ALA[1],UAAA[1],"6,422,721",,(2019)
3,Q174233,Nursultan Nazarbayev International Airport,UACC,NQZ,1078362,71.466944444444,51.022222222222,355.092699,3500,5099391,6000000,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_the_former_USSR,https://en.wikipedia.org/wiki/Nursultan_Nazarbayev_International_Airport,NQZ,UACC,"5,099,391",,(2019)
4,Q1430894,Atyrau Airport,UATG,GUW,295496,51.829444444444,47.122222222222,-22,,937032,937032,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_Kazakhstan#Kazakhstan's_busiest_airports_by_passenger_traffic_in_2019,https://en.wikipedia.org/wiki/Atyrau_Airport,GUW,UATG,,,
5,Q2393266,Balkhash Airport,UAAH,BXH,78002,75.005,46.893333,440,,,,,https://en.wikipedia.org/wiki/Balkhash_Airport,BXH,UAAH,,,
6,Q2393071,Zhezkazgan Airport,UAKD,DZN,86227,67.739166666667,47.708888888889,381,,,33898,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_Kazakhstan,https://en.wikipedia.org/wiki/Zhezkazgan_Airport,DZN,UAKD,,,
7,Q117807,Sary-Arka Airport,UAKK,KGF,497777,73.335277777778,49.671666666667,225,3602,,281931,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_Kazakhstan,https://en.wikipedia.org/wiki/Sary-Arka_Airport,KGF,UAKK,301,,
8,Q2635747,Kokshetau International Airport,UACK,KOV,139063,69.596666666667,53.33,270,,21683,22031,,https://en.wikipedia.org/wiki/Kokshetau_Airport,KOV,UACK,"11,877",,(2020)
9,Q2393255,Kostanay Airport,UAUU,KSN,217135,63.550277777778,53.206944444444,183,2514,,190855,http://kase.kz/files/emitters/ARAL/aralp_2016_rus.pdf,https://en.wikipedia.org/wiki/Kostanay_Airport,KSN,UAUU,,,
