,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
0,Q8975,Newcastle International Airport,EGNT,NCL,1146624,-1.6916666666667,55.0375,81.0769596,2329,5198952,5623607,https://www.caa.co.uk/uploadedFiles/CAA/Content/Standard_Content/Data_and_analysis/Datasets/Airport_stats/Airport_data_2020_12/Table_01_Size_of_UK_Airports.csv,https://en.wikipedia.org/wiki/Newcastle_International_Airport,NCL,EGNT,"4,128,407","31,606",(2022)
1,Q3497799,Qaarsut Airport,BGUQ,JQA,247,-52.696111111111,70.734166666667,88.0873734,,,,,https://en.wikipedia.org/wiki/Qaarsut_Airport,JQA,BGUQ,"7,105",,(2012)
2,Q3272989,San José Airport,MGSJ,GSJ,23887,-90.835833333333,13.936111111111,8.8392174,,,28598,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_Central_America,https://en.wikipedia.org/wiki/San_Jos%C3%A9_Airport_(Guatemala),GSJ,MGSJ,,,
3,Q974172,Santa Rosa Airport,SAZR,RSA,102860,-64.27583333,-36.58833333,192,,,46919,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Santa_Rosa_Airport_(Argentina),RSA,SAZR,"42,294",,(2016)
4,Q7419395,"Santa Cruz Airport, Argentina",SAWU,RZA,4431,-68.57916667,-50.01666667,111,,,,,https://en.wikipedia.org/wiki/Santa_Cruz_Airport_(Argentina),RZA,SAWU,,,
5,Q287077,Las Brujas Airport,SKCZ,CZU,70853,-75.28555556,9.33277778,160.9347168,,83807,96211,https://www.aerocivil.gov.co/atencion/estadisticas-de-las-actividades-aeronauticas/Estadsticas%20operacionales/Estad%C3%ADsticas%20de%20Tr%C3%A1fico%20de%20Aeropuertos%20Diciembre%202022.xlsx,https://en.wikipedia.org/wiki/Las_Brujas_Airport_(Colombia),CZU,SKCZ,"21,651",,(2020)
6,Q7413862,San Fernando Airport,RPUS,SFE,125640,120.30321944,16.59558889,4,,,18215,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_the_Philippines#Passenger_traffic_(2001–2005),https://en.wikipedia.org/wiki/San_Fernando_Airport_(Philippines),SFE,RPUS,,,
7,Q7330761,Richmond Airport,YRMD,RCM,648,143.11472222222,-20.701944444444,206,,,,,https://en.wikipedia.org/wiki/Richmond_Airport_(Queensland),RCM,YRMD,,,
8,Q7593213,St George Airport,YSGE,SGO,,148.595,-28.05,200,,,,,https://en.wikipedia.org/wiki/St_George_Airport_(Queensland),SGO,YSGE,,,
9,Q7075228,Obo Airport,AYOB,OBX,,141.32416667,-7.59053,,,,,,https://en.wikipedia.org/wiki/Obo_Airport_(Papua_New_Guinea),OBX,AYOB,,,
10,Q3436124,Santa Ana Airport,AGGT,NNB,,162.45416667,-10.84805556,2,,,,,https://en.wikipedia.org/wiki/Santa_Ana_Airport_(Solomon_Islands),NNB,AGGT,,,
11,Q7305560,Redcliffe Airport,NVSR,RCL,10800,167.835,-15.472,18,,,,,https://en.wikipedia.org/wiki/Redcliffe_Airport_(Vanuatu),RCL,NVSR,,,
12,Q7915229,Vanua Lava Airport,NVSC,SLH,2597,167.53694444444,-13.851666666667,17,,,,,https://en.wikipedia.org/wiki/Vanua_Lava_Airport,SLH,NVSC,,,
