,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
0,Q1657365,Coronel Felipe Varela International Airport,SANC,CTC,159139,-65.750833333333,-28.593055555556,464,,,61584,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Coronel_Felipe_Varela_International_Airport,CTC,SANC,"90,192","1,485",(2016)
1,Q2160738,Capitán Vicente Almandos Almonacid Airport,SANL,IRJ,180995,-66.79583333,-29.38055556,438,,,72852,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Capit%C3%A1n_Vicente_Almandos_Almonacid_Airport,IRJ,SANL,63.096[1],,(2016)
2,Q652588,Martín Miguel de Güemes International Airport,SASA,SLA,535303,-65.48694444,-24.85972222,1246,,,1110587,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Mart%C3%ADn_Miguel_de_G%C3%BCemes_International_Airport,SLA,SASA,1.257.854,,(2018)
3,Q1927818,Gobernador Horacio Guzmán International Airport,SASJ,JUJ,321789,-65.09777778,-24.3925,920,,,394594,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Gobernador_Horacio_Guzm%C3%A1n_International_Airport,JUJ,SASJ,"272,644","4,248",(2017)
4,Q1432711,Teniente Benjamín Matienzo International Airport,SANT,TUC,2460512,-65.10472222,-26.84083333,455,,,933472,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Teniente_General_Benjam%C3%ADn_Matienzo_International_Airport,TUC,SANT,"567,310",,(2017)
5,Q1657970,Comodoro D. Ricardo Salomón Airport,SAMM,LGS,,-69.57305556,-35.493333333333,1427,,,12381,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Comodoro_D._Ricardo_Salom%C3%B3n_Airport,LGS,SAMM,,,
6,Q1432029,Governor Francisco Gabrielli International Airport,SAME,MDZ,114822,-68.79277778,-32.83166667,704,,,2032195,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Governor_Francisco_Gabrielli_International_Airport,MDZ,SAME,1.813.623[1],,(2017)
7,Q1655092,Domingo Faustino Sarmiento Airport,SANU,UAQ,471389,-68.41833333,-31.57138889,597,,,364182,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Domingo_Faustino_Sarmiento_Airport,UAQ,SANU,"371,211[1]","4,285",(2016)
8,Q3497634,San Rafael Airport,SAMR,AFA,118009,-68.390278,-34.58781667,753,,,56188,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/San_Rafael_Airport_(Argentina),AFA,SAMR,"60,800",,(2016)
9,Q3291597,Brigadier Mayor César Raúl Ojeda Airport,SAOU,LUQ,169947,-66.351111111111,-33.27222222,710,,,92608,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Brigadier_Mayor_C%C3%A9sar_Ra%C3%BAl_Ojeda_Airport,LUQ,SAOU,"94,384","1,876",(2016)
10,Q2233135,Formosa International Airport,SARF,FMA,222226,-58.22805556,-26.21277778,59,,,107956,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Formosa_International_Airport,FMA,SARF,"106,450","2,064",(2017)
11,Q3495781,Resistencia International Airport,SARE,RES,291720,-59.05611111,-27.45,53,,,316082,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Resistencia_International_Airport,RES,SARE,"219,125[1]","3,685",(2016)
12,Q3542738,Vicecomodoro Ángel de la Paz Aragonés Airport,SANE,SDE,430280,-64.298888888889,-27.755555,200,,,121369,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Vicecomodoro_%C3%81ngel_de_la_Paz_Aragon%C3%A9s_Airport,SDE,SANE,"94,980",,(2016)
13,Q1656438,Doctor Fernando Piragine Niveyro International Airport,SARC,CNQ,352646,-58.761944444444,-27.445555555556,61,,,154430,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Doctor_Fernando_Piragine_Niveyro_International_Airport,CNQ,SARC,71.883,"4,453",(2016)
14,Q919691,General Justo José de Urquiza Airport,SAAP,PRA,247863,-60.48027778,-31.79472222,74,,,104455,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/General_Justo_Jos%C3%A9_de_Urquiza_Airport,PRA,SAAP,"43,307","2,667",(2016)
15,Q3498918,Libertador General José de San Martín Airport,SARP,PSS,275988,-55.97049,-27.38573,131,,,293833,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Libertador_General_Jos%C3%A9_de_San_Mart%C3%ADn_Airport,PSS,SARP,"209,000[1]","2,190",(2017)
16,Q1962002,Cataratas del Iguazú International Airport,SARI,IGR,,-54.47354,-25.73722,279,,,1089011,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Cataratas_del_Iguaz%C3%BA_International_Airport,IGR,SARI,"401,000",,(2021)
17,Q1657827,Comandante Espora Airport,SAZB,BHI,299101,-62.15333333,-38.720278,75,,,402862,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Comandante_Espora_Airport,BHI,SAZB,"306,523","3,962",(2016)
