,Unnamed: 0,max_population,max_passengers19,maxpax,wdpa_link,lat,lon,iata,icao,ISO_country,ISO_continent,year_pax_round2,pax_round2,consolidated_pax
0,,65024.0,,914457.0,https://en.wikipedia.org/wiki/L.F._Wade_International_Airport,32.364166666667,-64.678611111111,BDA,TXKF,BM,NA,2000,914457,914457.0
1,1.0,1306784.0,17957780.0,17957780.0,https://en.wikipedia.org/wiki/Calgary_International_Airport,51.113889,-114.020278,YYC,CYYC,CA,NA,2019,17957780,17957780.0
2,2.0,1010899.0,,7902.0,https://en.wikipedia.org/wiki/Edmonton_City_Centre_Airport,53.5719,-113.519,YXD,CYXD,CA,NA,2010,7902,7902.0
3,3.0,1321426.0,7892679.0,8406040.0,https://en.wikipedia.org/wiki/Edmonton_International_Airport,53.31,-113.57944444444,YEG,CYEG,CA,NA,2019,7892679,7892679.0
4,4.0,,,9788.0,https://en.wikipedia.org/wiki/Fort_Chipewyan_Airport,58.7675,-111.118,YPY,CYPY,CA,NA,2010,9788,9788.0
5,5.0,72326.0,601561.0,1308416.0,https://en.wikipedia.org/wiki/Fort_McMurray_International_Airport,56.6533,-111.223,YMM,CYMM,CA,NA,2019,601561,601561.0
6,6.0,,,405191.0,https://en.wikipedia.org/wiki/Grande_Prairie_Airport,55.18,-118.885,YQU,CYQU,CA,NA,2017,405191,405191.0
7,7.0,,,,https://en.wikipedia.org/wiki/High_Level_Airport,58.6217,-117.165,YOJ,CYOJ,CA,NA,,,
8,8.0,98406.0,105568.0,105568.0,https://en.wikipedia.org/wiki/Lethbridge_Airport,49.6303,-112.8,YQL,CYQL,CA,NA,2019,105568,105568.0
9,9.0,19739.0,,,https://en.wikipedia.org/wiki/Lloydminster_Airport,53.309166666667,-110.07277777778,YLL,CYLL,CA,NA,,,
10,10.0,63271.0,76552.0,76552.0,https://en.wikipedia.org/wiki/Medicine_Hat_Airport,50.0189,-110.721,YXH,CYXH,CA,NA,2019,76552,76552.0
11,11.0,,,21251.0,https://en.wikipedia.org/wiki/Peace_River_Airport,56.2272,-117.447,YPE,CYPE,CA,NA,2015,21251,21251.0
12,12.0,,,,https://en.wikipedia.org/wiki/Rainbow_Lake_Airport,58.4914,-119.408,YOP,CYOP,CA,NA,2017,0,
13,13.0,141379.0,1001423.0,1001423.0,https://en.wikipedia.org/wiki/Abbotsford_International_Airport,49.0253,-122.36,YXX,CYXX,CA,NA,2019,1001423,1001423.0
14,14.0,,,,https://en.wikipedia.org/wiki/Anahim_Lake_Airport,52.4514,-125.304,YAA,CAJ4,CA,NA,,,
15,15.0,,,2843.0,https://en.wikipedia.org/wiki/Campbell_River_Airport,49.9519,-125.273,YBL,CYBL,CA,NA,2019,0,
16,16.0,,,,https://en.wikipedia.org/wiki/West_Kootenay_Regional_Airport,49.2961,-117.632,YCG,CYCG,CA,NA,,,
17,17.0,,181072.0,181072.0,https://en.wikipedia.org/wiki/Cranbrook/Canadian_Rockies_International_Airport,49.6122,-115.782,YXC,CYXC,CA,NA,2019,181072,181072.0
18,18.0,12178.0,,,https://en.wikipedia.org/wiki/Dawson_Creek_Airport,55.7422,-120.183,YDQ,CYDQ,CA,NA,,,
19,19.0,,,67550.0,https://en.wikipedia.org/wiki/Fort_Nelson_Airport,58.836388888889,-122.59694444444,YYE,CYYE,CA,NA,2012,67550,67550.0
20,20.0,,318968.0,318968.0,https://en.wikipedia.org/wiki/Fort_St._John_Airport,56.238333333333,-120.74027777778,YXJ,CYXJ,CA,NA,2019,318968,318968.0
21,21.0,90280.0,,324042.0,https://en.wikipedia.org/wiki/Kamloops_Airport,50.7025,-120.449,YKA,CYKA,CA,NA,2016,322339,322339.0
22,22.0,127380.0,2032019.0,2081980.0,https://en.wikipedia.org/wiki/Kelowna_International_Airport,49.9572,-119.378,YLW,CYLW,CA,NA,2019,2032019,2032019.0
23,23.0,,,26483.0,https://en.wikipedia.org/wiki/Masset_Airport,54.0272,-132.125,ZMT,CZMT,CA,NA,2018,25354,25354.0
24,24.0,90504.0,,340861.0,https://en.wikipedia.org/wiki/Nanaimo_Airport,49.0544,-123.87,YCD,CYCD,CA,NA,2016,340861,340861.0
25,25.0,83022.0,,40539.0,https://en.wikipedia.org/wiki/Penticton_Regional_Airport,49.4625,-119.602,YYF,CYYF,CA,NA,,,40539.0
26,26.0,,,,https://en.wikipedia.org/wiki/Port_Hardy_Airport,50.680555555556,-127.33333333333,YZT,CYZT,CA,NA,,,
27,27.0,,,,https://en.wikipedia.org/wiki/Powell_River_Airport,49.8342,-124.5,YPW,CYPW,CA,NA,,,
28,28.0,74003.0,474485.0,495612.0,https://en.wikipedia.org/wiki/Prince_George_Airport,53.8842,-122.677,YXS,CYXS,CA,NA,2019,474485,474485.0
29,29.0,12220.0,,,https://en.wikipedia.org/wiki/Prince_Rupert_Airport,54.285833333333,-130.44472222222,YPR,CYPR,CA,NA,,,
30,30.0,,,,https://en.wikipedia.org/wiki/Quesnel_Airport,53.0261,-122.51,YQZ,CYQZ,CA,NA,,,
31,31.0,,,,https://en.wikipedia.org/wiki/Sandspit_Airport,53.2542,-131.814,YZP,CYZP,CA,NA,,,
32,32.0,,,,https://en.wikipedia.org/wiki/Smithers_Airport,54.8253,-127.183,YYD,CYYD,CA,NA,,,
33,33.0,,,290653.0,https://en.wikipedia.org/wiki/Northwest_Regional_Airport_Terrace-Kitimat,54.4686,-128.578,YXT,CYXT,CA,NA,2016,236874,236874.0
34,34.0,1053.0,,,https://en.wikipedia.org/wiki/Texada/Gillies_Bay_Airport,49.6942,-124.518,YGB,CYGB,CA,NA,,,
35,35.0,,,,https://en.wikipedia.org/wiki/Tofino/Long_Beach_Airport,49.0822,-125.772,YAZ,CYAZ,CA,NA,,,
36,36.0,631486.0,25738851.0,25936907.0,https://en.wikipedia.org/wiki/Vancouver_International_Airport,49.1947,-123.184,YVR,CYVR,CA,NA,2019,25738851,25738851.0
