,Unnamed: 0,max_population,max_passengers19,maxpax,wdpa_link,lat,lon,iata,icao,ISO_country,ISO_continent,year_pax_round2,pax_round2,consolidated_pax,h3,pop_30k,airport_30k,pax_h3_30k,pop_70k,airport_70k,pax_h3_70k,pop_150k,airport_150k,pax_h3_150k,GDP PPP,Gini,Surf,toursim_export_share,visiting_tourists,outbound_tourists,IHDI,is_country_island
0,,65024.0,,914457.0,https://en.wikipedia.org/wiki/L.F._Wade_International_Airport,32.364166666667,-64.678611111111,BDA,TXKF,BM,NA,2000,914457,914457.0,882a4c8ce9fffff,64922.60290551389,1.0,914457.0,62391.98714736178,1.0,914457.0,62106.02881513817,1.0,914457.0,81681.72667,,54.0,37.44420842,805000.0,,,0
1,1.0,1306784.0,17957780.0,17957780.0,https://en.wikipedia.org/wiki/Calgary_International_Airport,51.113889,-114.020278,YYC,CYYC,CA,NA,2019,17957780,17957780.0,8812ea6c37fffff,1389560.1834676235,1.0,17957780.0,1484407.1295352178,1.0,17957780.0,1749971.9323685737,1.0,17957780.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
2,2.0,1010899.0,,7902.0,https://en.wikipedia.org/wiki/Edmonton_City_Centre_Airport,53.5719,-113.519,YXD,CYXD,CA,NA,2010,7902,7902.0,8812eccb35fffff,1166984.6686485647,1.0,7902.0,1346474.9790191154,2.0,7900581.0,1570490.133768304,2.0,7900581.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
3,3.0,1321426.0,7892679.0,8406040.0,https://en.wikipedia.org/wiki/Edmonton_International_Airport,53.31,-113.57944444444,YEG,CYEG,CA,NA,2019,7892679,7892679.0,8812ec5819fffff,692460.3031553372,1.0,7892679.0,1387022.705737595,2.0,7900581.0,1678604.916336295,2.0,7900581.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
4,4.0,,,9788.0,https://en.wikipedia.org/wiki/Fort_Chipewyan_Airport,58.7675,-111.118,YPY,CYPY,CA,NA,2010,9788,9788.0,8812744f6bfffff,1366.9254020467745,1.0,9788.0,1391.3374410597607,1.0,9788.0,1472.512454575125,1.0,9788.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
5,5.0,72326.0,601561.0,1308416.0,https://en.wikipedia.org/wiki/Fort_McMurray_International_Airport,56.6533,-111.223,YMM,CYMM,CA,NA,2019,601561,601561.0,881254971bfffff,81052.88048288663,1.0,601561.0,82332.72205991033,1.0,601561.0,87431.05243813863,1.0,601561.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
6,6.0,,,405191.0,https://en.wikipedia.org/wiki/Grande_Prairie_Airport,55.18,-118.885,YQU,CYQU,CA,NA,2017,405191,405191.0,88121baad3fffff,85176.26735686189,1.0,405191.0,97632.7230265041,1.0,405191.0,145314.64879499128,2.0,405191.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
7,7.0,,,,https://en.wikipedia.org/wiki/High_Level_Airport,58.6217,-117.165,YOJ,CYOJ,CA,NA,,,,88120115b7fffff,4992.713977727801,1.0,0.0,10082.97611132633,1.0,0.0,20616.66416260675,1.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
8,8.0,98406.0,105568.0,105568.0,https://en.wikipedia.org/wiki/Lethbridge_Airport,49.6303,-112.8,YQL,CYQL,CA,NA,2019,105568,105568.0,8812c8a70dfffff,124485.93246527608,1.0,105568.0,154929.33806971778,1.0,105568.0,265465.8046664136,1.0,105568.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
9,9.0,19739.0,,,https://en.wikipedia.org/wiki/Lloydminster_Airport,53.309166666667,-110.07277777778,YLL,CYLL,CA,NA,,,,88125e4669fffff,39718.4990777229,1.0,0.0,60895.5567084533,1.0,0.0,174218.44198128657,1.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
10,10.0,63271.0,76552.0,76552.0,https://en.wikipedia.org/wiki/Medicine_Hat_Airport,50.0189,-110.721,YXH,CYXH,CA,NA,2019,76552,76552.0,8827b29881fffff,76883.14442992678,1.0,76552.0,80554.89299948224,1.0,76552.0,147795.1734910501,1.0,76552.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
11,11.0,,,21251.0,https://en.wikipedia.org/wiki/Peace_River_Airport,56.2272,-117.447,YPE,CYPE,CA,NA,2015,21251,21251.0,88120a4a87fffff,15798.441766827951,1.0,21251.0,26172.942065461306,1.0,21251.0,61486.23628840445,1.0,21251.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
12,12.0,,,,https://en.wikipedia.org/wiki/Rainbow_Lake_Airport,58.4914,-119.408,YOP,CYOP,CA,NA,2017,0,,8812006f47fffff,930.5758715659437,1.0,0.0,1946.6363838474429,1.0,0.0,3176.8776327045957,2.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
13,13.0,141379.0,1001423.0,1001423.0,https://en.wikipedia.org/wiki/Abbotsford_International_Airport,49.0253,-122.36,YXX,CYXX,CA,NA,2019,1001423,1001423.0,8828d3a409fffff,482570.61607394624,1.0,1001423.0,2717351.025349501,3.0,1691065.0,4457004.123135866,11.0,30806585.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
14,14.0,,,,https://en.wikipedia.org/wiki/Anahim_Lake_Airport,52.4514,-125.304,YAA,CAJ4,CA,NA,,,,88128e2183fffff,658.835042256047,1.0,0.0,758.7771821637253,1.0,0.0,3103.718301636934,1.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
