AIRPORT;AIRPORT_COUNTRY_CODE_ISO;LATITUDE;LONGITUDE
01A;US;58.10944444;-152.9066667
03A;US;65.54805556;-161.0716667
04A;US;68.08333333;-163.1666667
05A;US;67.57;-148.1838889
06A;US;57.74527778;-152.8827778
07A;US;55.55472222;-133.1016667
08A;US;59.15694444;-151.8291667
09A;US;59.36277778;-153.4305556
1B1;US;42.28888889;-73.71027778
1G4;US;35.99027778;-113.8163889
1N7;US;40.97111111;-74.9975
8F3;US;33.62388889;-101.2408333
A01;US;64.36416667;-147.3613889
A02;US;57.06666667;-153.9377778
A03;US;58.4575;-154.0233333
A04;US;57.27722222;-154.3422222
A05;US;61.96388889;-151.5558333
A06;US;65.65555556;-165.3563889
A07;US;66.76583333;-160.1525
A08;US;56.59805556;-134.2427778
JOH;US;60.48138889;-146.5822222
A09;US;60.48222222;-146.5822222
TLK;US;59.95555556;-158.4805556
KTH;US;59.95555556;-158.4805556
A11;US;60.78388889;-159.5402778
A12;US;60.78527778;-158.8644444
A13;US;61.39027778;-157.9955556
A14;US;61.18888889;-159.8583333
A15;US;70.71861111;-154.3883333
A16;US;70.74694444;-155.3608333
A17;US;58.06555556;-153.0725
A18;US;63.54166667;-150.9938889
A20;US;70.34416667;-150.9447222
A21;US;65.85138889;-164.7027778
A22;US;53.97277778;-166.8569444
A23;US;59.77611111;-151.9636111
A24;US;59.33166667;-135.8966667
A25;US;59.28833333;-136.1738889
A26;US;68.48333333;-155.7333333
A27;US;64.44;-144.9363889
A28;US;57.25388889;-154.4222222
A29;US;57.32305556;-153.1494444
A30;US;57.96388889;-153.0583333
A31;US;58.98277778;-153.1833333
A34;US;58.36194444;-152.3122222
A36;US;55.56027778;-131.6555556
A37;US;61.89888889;-161.4380556
A38;US;64.09722222;-143.2666667
A39;US;61.86611111;-141.1597222
A40;US;71.05694444;-154.7283333
A41;US;70.57611111;-152.2711111
A42;US;70.35833333;-153.1966667
A43;US;57.78083333;-152.3911111
A45;US;57.81666667;-134.5833333
A46;US;57.7;-134.2666667
A47;US;57.61666667;-134.3666667
A48;US;57.15;-153.15
