ju;ac_code_icao;e_type;wake;reduced_fuel_a1;reduced_fuel_a2;reduced_fuel_intercept;reduced_fuel_score;reduced_sample_size
0;A140;Turboprop;M;0.000157027;1.298277753;160.6244718;0.999945825;25
1;A148;Jet;M;6.40E-05;1.757267905;971.0358232;0.999794545;25
2;A158;Jet;M;3.34E-05;2.566018864;799.9393977;0.999352703;24
3;A20N;Jet;M;5.67E-05;2.382220323;955.9771828;0.999823541;25
4;A21N;Jet;M;6.32E-05;2.723658544;1121.938176;0.999939437;25
5;A306;Jet;H;0.000208304;5.292754729;2408.389122;0.99996684;25
6;A30B;Jet;H;0.000198289;6.474756928;2222.798736;0.999971002;25
7;A310;Jet;H;0.000163295;4.359746729;2228.027551;0.999913219;25
8;A318;Jet;M;6.90E-05;2.350075246;1118.909092;0.999671041;25
9;A319;Jet;M;7.86E-05;2.308258236;1194.099684;0.999762597;25
10;A320;Jet;M;0.000130042;2.42609512;1310.795095;0.999858196;25
11;A321;Jet;M;-5.74E-05;4.083572129;1084.133757;0.999780251;25
12;A332;Jet;H;0.000174786;4.903176266;3603.035198;0.999814463;25
13;A333;Jet;H;2.64E-05;6.51723369;2090.642673;0.998943752;25
14;A339;Jet;H;0.000176985;4.634359445;4057.667182;0.999429939;25
15;A342;Jet;H;0.000235809;5.160351823;4479.616295;0.999586416;25
16;A343;Jet;H;0.000267208;5.402029552;3954.737954;0.999687817;25
17;A345;Jet;H;0.000210195;6.852207692;4919.303526;0.999870068;25
18;A346;Jet;H;0.000256527;6.860517029;5501.482327;0.999895408;25
19;A359;Jet;H;8.62E-05;6.152636362;1753.641316;0.998294755;25
20;A35K;Jet;H;0.00018464;5.378231076;4413.229547;0.999811694;25
21;A388;Jet;J;0.000297635;11.40287418;6408.219743;0.999436532;25
22;AJ27;Jet;M;0.000112855;2.220290804;896.8808011;0.999728532;25
23;AN24;Turboprop;M;6.15E-05;1.598158809;212.2134235;0.999827611;25
24;AN38;Turboprop;M;3.04E-05;1.509327674;60.10635243;0.999988541;25
25;AT43;Turboprop;M;0.000203974;0.799558723;198.8527627;0.997296046;25
26;AT72;Turboprop;M;0.00025729;1.130641471;203.1793844;0.99915695;24
27;ATP;Turboprop;M;0.000380917;1.08475168;227.0407039;0.999708442;25
28;B190;Turboprop;M;3.57E-05;0.69904389;81.44129453;0.999991713;25
29;B38M;Jet;M;4.24E-05;2.272959023;976.4669476;0.999399514;25
30;B39M;Jet;M;5.44E-05;2.164085844;1134.752781;0.999809652;25
31;B461;Jet;M;0.000189616;2.574807112;1028.027392;0.999842367;25
32;B462;Jet;M;9.34E-05;2.731411713;1007.602964;0.999924068;25
33;B463;Jet;M;0.000232425;2.727072309;1091.414285;0.99964352;24
34;B712;Jet;M;9.51E-05;2.558627859;888.8985953;0.99996368;25
35;B722;Jet;M;0.000230203;4.938178279;1867.430323;0.999885476;25
36;B732;Jet;M;2.26E-05;3.297236843;1136.061288;0.999495235;25
37;B733;Jet;M;-1.86E-05;3.397847037;783.8308257;0.999215166;25
38;B734;Jet;M;0.000104184;3.21017381;1167.77325;0.999983141;25
39;B735;Jet;M;7.42E-05;2.64461575;1144.582138;0.999916005;25
40;B736;Jet;M;5.98E-05;2.390726491;1141.073187;0.999854224;25
41;B737;Jet;M;8.45E-05;2.491056389;1254.800181;0.999857484;25
42;B738;Jet;M;7.38E-05;2.920849872;1218.821197;0.999764404;25
43;B739;Jet;M;5.87E-05;3.080557671;1193.958284;0.999496694;25
44;B744;Jet;H;0.00032984;8.335664382;5173.38753;0.999902271;25
45;B748;Jet;H;0.000261595;7.162095963;6199.102377;0.999878841;25
46;B752;Jet;M;0.000125004;3.647634675;1815.404576;0.999957027;25
47;B753;Jet;M;0.000134232;4.317066583;1813.209573;0.999950553;25
48;B762;Jet;H;0.000158363;4.430972687;2153.699352;0.999919661;25
49;B763;Jet;H;0.00014987;4.177717665;2897.953779;0.999847627;25
50;B764;Jet;H;0.000139533;5.114127993;2381.902479;0.999970316;25
51;B772;Jet;H;0.000191475;5.782782754;3631.7962;0.999882917;25
52;B773;Jet;H;5.54E-05;8.815299639;1523.230886;0.998138369;25
53;B77L;Jet;H;0.000187328;5.340268459;4948.453927;0.999623704;25
54;B77W;Jet;H;0.000210066;6.448265008;4650.53301;0.999875997;25
