,iata_departure,iata_arrival,seats,airline,group_col
0,ORY,VCP,4592.0,AAF,"('ORY', 'VCP')"
1,VCP,ORY,4592.0,AAF,"('ORY', 'VCP')"
2,ORY,VCP,4592.0,AAF,"('ORY', 'VCP')"
3,VCP,ORY,4592.0,AAF,"('ORY', 'VCP')"
4,ORY,VCP,4879.0,AAF,"('ORY', 'VCP')"
5,VCP,ORY,5453.0,AAF,"('ORY', 'VCP')"
6,ORY,VCP,6314.0,AAF,"('ORY', 'VCP')"
7,VCP,ORY,5740.0,AAF,"('ORY', 'VCP')"
8,ORY,VCP,6314.0,AAF,"('ORY', 'VCP')"
9,VCP,ORY,6314.0,AAF,"('ORY', 'VCP')"
10,ORY,VCP,5453.0,AAF,"('ORY', 'VCP')"
11,ORY,VCP,287.0,AAF,"('ORY', 'VCP')"
12,VCP,ORY,5740.0,AAF,"('ORY', 'VCP')"
13,ORY,VCP,5166.0,AAF,"('ORY', 'VCP')"
14,VCP,ORY,5166.0,AAF,"('ORY', 'VCP')"
15,DFW,GRU,9424.0,AAL,"('DFW', 'GRU')"
16,JFK,GIG,8432.0,AAL,"('GIG', 'JFK')"
17,JFK,GRU,9424.0,AAL,"('GRU', 'JFK')"
18,LAX,GRU,5396.0,AAL,"('GRU', 'LAX')"
19,MIA,BSB,5130.0,AAL,"('BSB', 'MIA')"
20,MIA,MAO,3943.0,AAL,"('MAO', 'MIA')"
21,MIA,GIG,16352.0,AAL,"('GIG', 'MIA')"
22,MIA,GRU,17115.0,AAL,"('GRU', 'MIA')"
23,BSB,MIA,5130.0,AAL,"('BSB', 'MIA')"
24,MAO,MIA,4101.0,AAL,"('MAO', 'MIA')"
25,GIG,JFK,8432.0,AAL,"('GIG', 'JFK')"
26,GIG,MIA,16864.0,AAL,"('GIG', 'MIA')"
27,GIG,GIG,272.0,AAL,"('GIG', 'GIG')"
28,GRU,DFW,9120.0,AAL,"('DFW', 'GRU')"
29,GRU,JFK,9424.0,AAL,"('GRU', 'JFK')"
30,GRU,LAX,4544.0,AAL,"('GRU', 'LAX')"
31,GRU,MIA,18432.0,AAL,"('GRU', 'MIA')"
32,DFW,GRU,8512.0,AAL,"('DFW', 'GRU')"
33,JFK,GIG,7616.0,AAL,"('GIG', 'JFK')"
34,JFK,GRU,8784.0,AAL,"('GRU', 'JFK')"
35,LAX,BSB,284.0,AAL,"('BSB', 'LAX')"
36,LAX,GRU,4260.0,AAL,"('GRU', 'LAX')"
37,MIA,BSB,4446.0,AAL,"('BSB', 'MIA')"
38,MIA,MAO,128.0,AAL,"('MAO', 'MIA')"
39,MIA,MAO,3456.0,AAL,"('MAO', 'MIA')"
40,MIA,GIG,10880.0,AAL,"('GIG', 'MIA')"
