aircraft_osky;acft_icao;acft_class;seymour_proxy
B738;B738;NB;B738
A320;A320;NB;A320
A319;A319;NB;A319
B737;B737;NB;B737
A321;A321;NB;A321
E75L;E75L;RJ;E75L
B739;B739;NB;B739
CRJ9;CRJ9;RJ;CRJ9
B77W;B77W;WB;B77W
B752;B752;NB;B752
CRJ2;CRJ2;RJ;CRJ2
A333;A333;WB;A333
DH8D;DH8D;TP;DH8D
A20N;A20N;NB;A20N
B763;B763;WB;B763
E75S;E75S;RJ;E75S
C208;C208;TP;C208
CRJ7;CRJ7;RJ;CRJ7
B772;B772;WB;B772
E145;E145;RJ;E145
A332;A332;WB;A332
AT76;AT76;TP;AT72
A388;A388;WB;A388
C172;C172;PP;C172
B744;B744;WB;B744
B788;B788;WB;B788
E190;E190;RJ;E190
E195;E190;RJ;E190
B712;B712;NB;B712
PC12;PC12;TP;PC12
B789;B789;WB;B789
AS50;AS50;HE;zzz
EC30;EC30;HE;zzz
A359;A359;WB;A359
E170;E170;RJ;E170
B77L;B77L;WB;B77L
A306;A306;WB;A306
C56X;C56X;PJ;C680
E45X;E45X;RJ;E145
BE20;BE20;TP;BE20
E55P;E55P;PJ;E55P
EC35;EC35;HE;zzz
B350;B350;TP;B735
B748;B748;WB;B748
B407;B407;HE;zzz
MD88;MD88;NB;MD88
P28A;P28A;PP;P28B
EC45;EC45;HE;zzz
B734;B734;NB;B734
B06;B06;HE;zzz
CL35;CL35;PJ;zzz
MD11;MD11;WB;A343
BCS3;BCS3;NB;BCS3
R44;R44;HE;zzz
CL30;CL30;PJ;C310
A318;A318;NB;A318
A21N;A21N;NB;A21N
A139;A139;HE;zzz
DH8C;DH8C;TP;DH8C
B753;B753;NB;B753
MD90;MD90;NB;MD90
G550;GLF5;PJ;GLF5
C680;C680;PJ;C680
BE9L;BE9L;TP;zzz
B733;B733;NB;B733
C25B;C25B;PJ;C25A
C560;C560;PJ;C680
DHC6;DHC6;TP;DHC6
C68A;C68A;PJ;C680
DA40;DA40;PP;C172
C750;C750;PJ;C680
CRJX;CRJX;RJ;CRJX
CL65;CL60;PJ;C680
BCS1;BCS1;NB;BCS1
R22;R22;HE;zzz
H25B;H25B;PJ;zzz
B762;B762;WB;B762
AT75;AT75;TP;AT72
C510;C510;PJ;C680
GLF4;GLF4;PJ;GLF4
BE40;BE40;PJ;BE40
G450;GLF4;PJ;GLF4
C525;C525;PJ;C25A
LJ45;LJ45;PJ;C680
B429;B429;HE;zzz
C25A;C25A;PJ;C25A
GL6T;GLF6;PJ;GLF4
SF34;SF34;TP;SF34
H500;H500;HE;zzz
B736;B736;NB;B736
B764;B764;WB;B764
GLEX;GLEX;PJ;CRJ7
A343;A343;WB;A343
BE99;BE99;TP;zzz
CL64;CL60;PJ;C680
C25C;C25C;PJ;C25A
RJ85;RJ85;RJ;RJ85
G650;GLF6;PJ;GLF4
S76;S76;HE;zzz
E50P;E50P;PJ;E55P
A346;A346;WB;A346
FA7X;FA7X;PJ;CRJ7
F2LX;FA20;PJ;A20N
B735;B735;NB;B735
PC21;PC21;TP;PC12
LJ35;LJ35;PJ;C680
C182;C182;PP;C172
SR22;SR22;PP;zzz
GL5T;GL5T;PJ;GLF5
P46T;P46T;TP;PA46
LJ60;LJ60;PJ;C680
F9EX;F900;PJ;F100
F2EX;FA20;PJ;CRJ7
F2TH;F2TH;PJ;C680
E35L;E35L;PJ;E135
E135;E135;RJ;E135
C152;C152;PP;C172
C17;C17;OTHER;B747
B773;B773;WB;B773
DV20;DV20;PP;zzz
TEX2;TEX2;TP;zzz
E140;E135;RJ;E135
LJ75;LJ75;PJ;C680
G280;G280;PJ;C680
GLF5;GLF5;PJ;GLF5
SU95;SU95;RJ;SU95
TBM8;TBM8;TP;zzz
B38M;B38M;NB;B38M
DA42;DA42;PP;c172
RJ1H;RJ1H;RJ;RJ1H
P750;P750;TP;zzz
SW4;SW4;TP;SW4
C25M;C25M;PJ;C25A
R66;R66;HE;zzz
G200;G200;PP;zzz
TBM9;TBM9;TP;PC12
DC10;DC10;WB;A343
A35K;A35K;WB;A35K
F900;F900;PJ;CRJ2
C55B;C55B;PJ;C680
B190;B190;TP;B190
EC20;EC20;HE;zzz
PA44;PA44;PP;PA46
PRM1;PRM1;PJ;zzz
TBM7;TBM7;TP;PC12
C550;C550;PJ;C680
PA34;PA34;PP;PA46
H900;zzz;OTHER;zzz
DR40;DR40;PP;C172
DH8A;DH8A;TP;DH8A
C441;C441;TP;zzz
CT4;CT4;PP;zzz
G150;G150;PJ;C680
BK17;BK17;HE;zzz
B412;B412;HE;zzz
LJ40;LJ40;PJ;C680
C650;C650;PJ;C680
A109;A109;HE;zzz
EA50;EA50;PJ;zzz
S22T;S22T;PP;zzz
CL61;CL60;PJ;C680
DHC2;DHC2;PP;DHC2
CRJ1;CRJ1;RJ;CRJ1
A169;A169;HE;zzz
A119;A119;HE;zzz
E545;E545;PJ;E145
A310;A310;WB;A310
172S;C172;PP;C172
F100;F100;RJ;F100
BE30;BE30;TP;BE20
DH3T;DH3T;TP;DHC3
E550;E550;PJ;BE55
P28R;P28R;PP;P28B
G2CA;G2CA;HE;zzz
FA50;FA50;PJ;C680
GLID;GLID;OTHER;zzz
PC9;PC9;TP;PC12
AT43;AT43;TP;AT43
BE36;BE36;PP;P28B
F5EX;FA6X;PJ;CRJ7
B78X;B78X;WB;B78X
SC7;SC7;TP;zzz
PA31;PA31;PP;PA31
SKYHAWK;A4;OTHER;A140
AT46;AT46;TP;AT43
A3ST;A3ST;WB;A306
PC6T;PC6T;TP;zzz
C42;C42;PP;zzz
P180;P180;TP;zzz
BE58;BE58;PP;zzz
CL60;CL60;PJ;C680
M20P;M20P;PP;zzz
D328;D328;TP;D328
D228;D228;TP;D228
LJ31;LJ31;PJ;C680
P68;P68;PP;zzz
AT72;AT72;TP;AT72
F9LX;F900;PJ;CRJ7
C30J;C30J;TP;zzz
HDJT;HDJT;PJ;zzz
C501;C501;PJ;zzz
FDCT;FDCT;PP;zzz
MU2;MU2;TP;zzz
UH1;UH1;HE;zzz
F2TS;FA20;PJ;C680
MD52;MD52;HE;zzz
AC90;AC90;TP;zzz
SH36;SH36;TP;zzz
C150;C150;PP;C172
WT9;WT9;PP;zzz
PA46;PA46;PP;PA46
BE35;BE35;PP;zzz
BE9T;BE9T;TP;zzz
SR20;SR20;PP;zzz
A339;A339;WB;A339
B463;B463;RJ;B463
SLG2;SLG2;PP;zzz
C130;C130;TP;zzz
PAY1;PAY1;TP;zzz
PA32;PA32;PP;P28B
C402;C402;PP;zzz
S92;S92;HE;zzz
CL85;CRJ2;PJ;CRJ2
DIMO;DIMO;PP;zzz
AS65;AS65;HE;zzz
A189;A189;HE;zzz
HA4T;HA4T;PJ;zzz
C206;C206;PP;C208
JS32;JS32;TP;zzz
FA20;FA20;PJ;CRJ2
B212;B212;HE;zzz
T6;T6;PP;zzz
