,departure_continent,departure_continent_name,inside,dep_lon,dep_lat,seats,ask,fuel_burn,co2,CO2 (Mt),ASK (Bn),Seats (Mn)
0,AF,Africa,False,17.7578122,11.5024338,90173935.38377295,307713348944.2296,7155656714.047482,22611875216.39004,22.611875216390043,307.7133489442296,90.17393538377296
1,AF,Africa,True,17.7578122,11.5024338,93709655.90576866,99373800830.1006,2684941369.357404,8484414727.169397,8.484414727169398,99.37380083010059,93.70965590576867
2,AS,Asia,False,89.2343748,51.2086975,232631149.40321252,1230999472194.7163,30838295019.64113,97449012262.06598,97.44901226206598,1230.9994721947164,232.63114940321256
3,AS,Asia,True,89.2343748,51.2086975,2012099795.1779869,2876875568992.0854,73265228201.25133,231518121115.9542,231.5181211159542,2876.8755689920854,2012.0997951779868
4,EU,Europe,False,10.0,51.0,293913139.61774063,1414880252023.0608,34555802125.030304,109196334715.09578,109.19633471509577,1414.8802520230606,293.9131396177407
5,EU,Europe,True,10.0,51.0,1023187863.6901423,1107244282780.349,27540568780.697582,87028197347.00436,87.02819734700437,1107.244282780349,1023.1878636901423
6,NA,North America,False,-109.0,51.0000002,130694904.57852833,969280636825.8494,25031654979.945415,79100029736.6275,79.10002973662752,969.2806368258493,130.69490457852834
7,NA,North America,True,-109.0,51.0000002,1258702041.3240118,1811640479926.943,45983671243.46931,145308401129.36304,145.30840112936303,1811.640479926943,1258.7020413240118
8,OC,Oceania,False,173.7741688,-12.7725835,40278009.645825274,278668976930.2364,6930693687.364055,21900992052.070415,21.900992052070414,278.66897693023645,40.27800964582528
9,OC,Oceania,True,173.7741688,-12.7725835,128069866.37820727,148245157620.05045,3918998262.218641,12384034508.610905,12.384034508610904,148.24515762005043,128.06986637820728
10,SA,South America,False,-61.0006565,-21.0002179,30267930.431872647,183116169901.77142,4578816024.071308,14469058636.065334,14.469058636065334,183.1161699017714,30.267930431872646
11,SA,South America,True,-61.0006565,-21.0002179,235647431.18590537,236285453430.03973,6556597598.551493,20718848411.422718,20.71884841142272,236.28545343003972,235.64743118590536
