,departure_continent,departure_continent_name,arrival_continent,arrival_continent_name,seats,ask,fuel_burn,co2,CO2 (Mt),ASK (Bn),Seats (Mn),dep_lon,dep_lat,arr_lon,arr_lat
0,AF,Africa,AF,Africa,93709655.90576866,99373800830.1006,2684941369.357404,8484414727.169397,8.484414727169398,99.37380083010059,93.70965590576867,17.7578122,11.5024338,7.7578122,11.5024338
1,AF,Africa,AS,Asia,24131170.241121896,83759134208.86691,1999906356.8355246,6319704087.600258,6.3197040876002575,83.75913420886691,24.131170241121897,17.7578122,11.5024338,79.2343748,51.2086975
2,AF,Africa,EU,Europe,63364702.43188563,200263713841.62878,4555884020.965692,14396593506.251585,14.396593506251586,200.26371384162877,63.36470243188563,17.7578122,11.5024338,0.0,51.0
3,AF,Africa,NA,North America,1883998.2678185748,17430453804.955482,445141419.53467554,1406646885.7295747,1.4066468857295749,17.430453804955484,1.883998267818575,17.7578122,11.5024338,-119.0,51.0000002
4,AF,Africa,OC,Oceania,234813.93599999996,2201038925.384476,56803767.83216922,179499906.34965476,0.17949990634965474,2.2010389253844758,0.23481393599999995,17.7578122,11.5024338,163.7741688,-12.7725835
5,AF,Africa,SA,South America,559250.5069468577,4059008163.3939843,97921148.87942104,309430830.4589705,0.3094308304589705,4.059008163393984,0.5592505069468577,17.7578122,11.5024338,-71.00065649999999,-21.0002179
6,AS,Asia,AF,Africa,24131170.241121896,83759134208.86691,1999906356.8355246,6319704087.600258,6.3197040876002575,83.75913420886691,24.131170241121897,89.2343748,51.2086975,7.7578122,11.5024338
7,AS,Asia,AS,Asia,2012099795.1779869,2876875568992.0854,73265228201.25133,231518121115.9542,231.5181211159542,2876.8755689920854,2012.0997951779868,89.2343748,51.2086975,79.2343748,51.2086975
8,AS,Asia,EU,Europe,153873634.32371435,649037937829.4214,15636179543.005823,49410327355.89841,49.4103273558984,649.0379378294214,153.87363432371436,89.2343748,51.2086975,0.0,51.0
9,AS,Asia,NA,North America,29007118.886487458,314407220470.1493,8604310125.023022,27189619995.07275,27.189619995072754,314.4072204701493,29.007118886487458,89.2343748,51.2086975,-119.0,51.0000002
10,AS,Asia,OC,Oceania,24993158.925584443,176047561897.71198,4388561064.9104,13867852965.116867,13.867852965116867,176.04756189771197,24.993158925584446,89.2343748,51.2086975,163.7741688,-12.7725835
11,AS,Asia,SA,South America,626067.0263043811,7747617788.566826,209337929.86635837,661507858.3776926,0.6615078583776925,7.747617788566825,0.626067026304381,89.2343748,51.2086975,-71.00065649999999,-21.0002179
12,EU,Europe,AF,Africa,63364702.43188563,200263713841.62878,4555884020.965692,14396593506.251585,14.396593506251586,200.26371384162877,63.36470243188563,10.0,51.0,7.7578122,11.5024338
13,EU,Europe,AS,Asia,153873634.32371435,649037937829.4214,15636179543.005823,49410327355.89841,49.4103273558984,649.0379378294214,153.87363432371436,10.0,51.0,79.2343748,51.2086975
14,EU,Europe,EU,Europe,1023187863.6901423,1107244282780.349,27540568780.697582,87028197347.00436,87.02819734700437,1107.244282780349,1023.1878636901423,10.0,51.0,0.0,51.0
15,EU,Europe,NA,North America,66493759.623750366,469060392067.95233,11884861003.348297,37556160770.58062,37.556160770580625,469.0603920679523,66.49375962375036,10.0,51.0,-119.0,51.0000002
16,EU,Europe,OC,Oceania,441477.8381463178,7268406410.151123,210714756.9049317,665858631.8195843,0.6658586318195843,7.268406410151123,0.4414778381463178,10.0,51.0,163.7741688,-12.7725835
17,EU,Europe,SA,South America,9739565.400243994,89249801873.90709,2268162800.805562,7167394450.545577,7.167394450545577,89.2498018739071,9.739565400243993,10.0,51.0,-71.00065649999999,-21.0002179
18,NA,North America,AF,Africa,1883998.2678185748,17430453804.955482,445141419.53467554,1406646885.7295747,1.4066468857295749,17.430453804955484,1.883998267818575,-109.0,51.0000002,7.7578122,11.5024338
19,NA,North America,AS,Asia,29007118.886487458,314407220470.1493,8604310125.023022,27189619995.07275,27.189619995072754,314.4072204701493,29.007118886487458,-109.0,51.0000002,79.2343748,51.2086975
20,NA,North America,EU,Europe,66493759.623750366,469060392067.95233,11884861003.348297,37556160770.58062,37.556160770580625,469.0603920679523,66.49375962375036,-109.0,51.0000002,0.0,51.0
21,NA,North America,NA,North America,1258702041.3240118,1811640479926.943,45983671243.46931,145308401129.36304,145.30840112936303,1811.640479926943,1258.7020413240118,-109.0,51.0000002,-119.0,51.0000002
22,NA,North America,OC,Oceania,14287769.624094516,89737399051.93877,2184281192.6180034,6902328568.672891,6.90232856867289,89.73739905193877,14.287769624094516,-109.0,51.0000002,163.7741688,-12.7725835
23,NA,North America,SA,South America,19022258.176377416,78645171430.85344,1913061239.4214168,6045273516.571677,6.045273516571678,78.64517143085344,19.022258176377413,-109.0,51.0000002,-71.00065649999999,-21.0002179
24,OC,Oceania,AF,Africa,234813.93599999996,2201038925.3844757,56803767.83216922,179499906.34965473,0.17949990634965474,2.2010389253844758,0.23481393599999995,173.7741688,-12.7725835,7.7578122,11.5024338
25,OC,Oceania,AS,Asia,24993158.925584443,176047561897.71198,4388561064.9104,13867852965.116867,13.867852965116867,176.047561897712,24.993158925584446,173.7741688,-12.7725835,79.2343748,51.2086975
