,Registration prefix,Country,Continents
0,YA,Afghanistan,Asia
1,ZA,Albania,Europe
2,7T,Algeria,Africa
3,C3,Andorra,Europe
4,D2,Angola,Africa
5,VP-A,Anguilla,North America
6,V2,Antigua and Barbuda,North America
7,LV,Argentina,South America
8,LQ,Argentina,South America
9,EK,Armenia,Asia
10,P4,Aruba,South America
11,VH,Australia,Oceania
12,OE,Austria,Europe
13,4K,Azerbaijan,Asia
14,C6,Bahamas,North America
15,A9C,Bahrain,Asia
16,S2,Bangladesh,Asia
17,8P,Barbados,North America
18,EW,Belarus,Europe
19,OO,Belgium,Europe
20,V3,Belize,North America
21,TY,Benin,Africa
22,VP-B,Bermuda,North America
23,VQ-B,Bermuda,North America
24,A5,Bhutan,Asia
25,CP,Bolivia,South America
26,E7,Bosnia and Herzegovina,Europe
27,A2,Botswana,Africa
28,PP,Brazil,South America
29,PR,Brazil,South America
30,PS,Brazil,South America
31,PT,Brazil,South America
32,PU,Brazil,South America
33,VP-L,British Virgin Islands,North America
34,V8,Brunei,Asia
35,LZ,Bulgaria,Europe
36,XT,Burkina Faso,Africa
37,9U,Burundi,Africa
38,XU,Cambodia,Asia
39,TJ,Cameroon,Africa
40,C,Canada,North America
41,D4,Cape Verde,Africa
42,VP-C,Cayman Islands,North America
43,VQ-C,Cayman Islands,North America
44,TL,Central African Republic,Africa
45,TT,Chad,Africa
46,CC,Chile,South America
47,B,Taiwan,Asia
48,HJ,Colombia,South America
49,HK,Colombia,South America
50,D6,Comoros,Africa
51,TN,Congo - Republic of,Africa
52,9S,Congo - Democratic Republic of,Africa
53,9T,Congo - Democratic Republic of,Africa
54,E5,Cook Islands,Oceania
55,TI,Costa Rica,North America
56,9A,Croatia,Europe
57,CU,Cuba,North America
58,5B,Cyprus,Europe
59,OK,Czech Republic,Europe
60,OY,Denmark,Europe
61,J2,Djibouti,Africa
62,J7,Dominica,North America
63,HI,Dominican Republic,North America
64,4W,East Timor,Asia
65,HC,Ecuador,South America
66,SU,Egypt,Africa
67,YS,El Salvador,North America
68,3C,Equatorial Guinea,Africa
69,E3,Eritrea,Africa
70,ES,Estonia,Europe
71,3DC,Eswatini,Africa
72,ET,Ethiopia,Africa
