ICAO_AC;spotter_name
B738;Boeing 737-800
A320;Airbus A320-100
A319;Airbus A319-100
A321;Airbus A321-200
DH8D;De Havilland Canada DHC-8-400
E190;Embraer ERJ-190
A20N;Airbus A320neo
B77W;Boeing 777-300ER
CRJ9;Bombardier CRJ-900
AT76;ATR 72
AT75;ATR 72
A333;Airbus A330-300
E195;Embraer ERJ-195
B737;Boeing 737-700
A332;Airbus A330-200
B789;Boeing 787-9 Dreamliner
B772;Boeing 777-200
CRJX;Bombardier CRJ-1000
B763;Boeing 767-300
B788;Boeing 787-8 Dreamliner
E75S;Embraer ERJ-175
A359;Airbus A350-900
DH8A;De Havilland Canada DHC-8-100
A21N;Airbus A321neo
A388;Airbus A380-800
BCS3;Airbus A220-300
B752;Boeing 757-200
E170;Embraer ERJ-170
B733;Boeing 737-300
B744;Boeing 747-400
S92;#N/A
E145;Embraer ERJ-145
B739;Boeing 737-900
A318;Airbus A318-100
E75L;Embraer ERJ-175
AT45;ATR 42
SF34;Saab 340
AT72;ATR 72
B734;Boeing 737-400
B712;Boeing 717-200
A343;Airbus A340-300
B77L;Boeing 777-200
B735;Boeing 737-500
A346;Airbus A340-600
CRJ7;Bombardier CRJ-700
B736;Boeing 737-600
CRJ2;Bombardier CRJ-200
BCS1;Airbus A220-100
DH8C;De Havilland Canada DHC-8-300
B190;#N/A
B753;Boeing 757-300
DH8B;De Havilland Canada DHC-8-200
AT43;ATR 42
B764;Boeing 767-400
RJ85;British Aerospace Avro RJ85
C68A;#N/A
RJ1H;British Aerospace Avro RJ100
B748;Boeing 747-8
E45X;Embraer ERJ-145
A306;Airbus A300-600
B38M;Boeing 737 MAX 8
MD11;McDonnell Douglas MD-11
B762;Boeing 767-200
MD88;McDonnell Douglas MD-88
CRJ1;Bombardier CRJ-100
MD90;McDonnell Douglas MD-90
DC10;McDonnell Douglas DC-10-30
F100;Fokker F70
D328;Dornier 328-100
A310;Airbus A310-300
D228;Dornier 328-100
SU95;Sukhoi Superjet 100-95
