,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
0,Q2875746,Touat-Cheikh Sidi Mohamed Belkebir Airport,DAUA,AZR,68276,-0.18636111111111,27.837833333333,280,,,,,https://en.wikipedia.org/wiki/Touat-Cheikh_Sidi_Mohamed_Belkebir_Airport,AZR,DAUA,"92,197","2,047",(2013)
1,Q623452,Algiers Houari Boumediene Airport,DAAG,ALG,3415811,3.2169444444444,36.694444444444,25,,,7975412,,https://en.wikipedia.org/wiki/Houari_Boumediene_Airport,ALG,DAAG,"7,500,000",?,(2016)
2,Q979270,Annaba Rabah Bitat Airport,DABB,AAE,464740,7.809444,36.822222,5,3000,515481,553349,http://www.egsa-constantine.dz/index.php/exploitation/statistiques-du-trafic,https://en.wikipedia.org/wiki/Rabah_Bitat_Airport,AAE,DABB,"105,229",,(2020[1])
3,Q2265566,Mostépha Ben Boulaid Airport,DABT,BLJ,290645,6.30925,35.751805555556,823,,78285,83160,http://www.egsa-constantine.dz/index.php/exploitation/statistiques-du-trafic,https://en.wikipedia.org/wiki/Most%C3%A9pha_Ben_Boulaid_Airport,BLJ,DABT,"13,692",,(2020[1])
4,Q2875808,Boudghene Ben Ali Lotfi Airport,DAOR,CBH,165627,-2.2611944444444,31.654666666667,811,,,,,https://en.wikipedia.org/wiki/Boudghene_Ben_Ali_Lotfi_Airport,CBH,DAOR,"59,165","1,820",(2013)
5,Q2875809,Soummam – Abane Ramdane Airport,DAAE,BJA,176139,5.0694722222222,36.711972222222,6,,,318186,https://www.egsa-alger.dz/,https://en.wikipedia.org/wiki/Abane_Ramdane_Airport,BJA,DAAE,"294,933","3,664",(2013)
6,Q598215,Biskra Mohamed Khider Airport,DAUB,BSK,204661,5.7383055555556,34.793361111111,88,2900,136718,136718,http://www.egsa-constantine.dz/images/statistiques/statistiques-passagers.pdf,https://en.wikipedia.org/wiki/Biskra_Airport,BSK,DAUB,"29,154",,(2020[1])
7,Q2875797,Bordj Mokhtar Airport,DATM,BMW,20930,0.927,21.377833333333,397,,,,,https://en.wikipedia.org/wiki/Bordj_Badji_Mokhtar_Airport,BMW,DATM,,,
8,Q2228220,Chlef International Airport,DAOI,CFK,155134,1.3356388888889,36.214805555556,153,2800,,,,https://en.wikipedia.org/wiki/Chlef_International_Airport,CFK,DAOI,,,
9,Q2510194,Mohamed Boudiaf International Airport,DABC,CZL,448374,6.617056,36.282417,706,3000,1092491,1116415,http://www.egsa-constantine.dz/images/statistiques/statistiques-passagers.pdf,https://en.wikipedia.org/wiki/Mohamed_Boudiaf_International_Airport,CZL,DABC,"236,848",,(2020[1])
10,Q2365220,Djanet Inedbirene Airport,DAAJ,DJG,14655,9.4521111111111,24.292861111111,966,,,,,https://en.wikipedia.org/wiki/Djanet_Inedbirene_Airport,DJG,DAAJ,,,
11,Q4263825,Tsletsi Airport,DAFI,QDJ,,3.349,34.6671,1144,,,,,https://en.wikipedia.org/wiki/Tsletsi_Airport,,DAFI,,,
12,Q2875767,El Bayadh Airport,DAOY,EBH,85577,1.09139,33.7208,1366,,,,,https://en.wikipedia.org/wiki/El_Bayadh_Airport,EBH,DAOY,,,
13,Q5351317,El Golea Airport,DAUE,ELG,40195,2.8642222222222,30.577388888889,398,,,,,https://en.wikipedia.org/wiki/El_Golea_Airport,ELG,DAUE,,,
14,Q2875773,Guemar Airport,DAUO,ELU,134699,6.7825833333333,33.512888888889,62,,,,,https://en.wikipedia.org/wiki/Guemar_Airport,ELU,DAUO,,,
15,Q1432199,Noumérat – Moufdi Zakaria Airport,DAUG,GHA,120000,3.7946666666667,32.384277777778,461,3100,,,,https://en.wikipedia.org/wiki/Noum%C3%A9rat_%E2%80%93_Moufdi_Zakaria_Airport,GHA,DAUG,"45,794","2,436",(2010)
16,Q2875824,Ghriss Airport,DAOV,MUW,108587,0.14714166666667,35.207725,514,,,,,https://en.wikipedia.org/wiki/Ghriss_Airport,MUW,DAOV,,,
17,Q25060,Oued Irara–Krim Belkacem Airport,DAUH,HME,45147,6.140556,31.673889,140,3000,,481371,https://www.air-journal.fr/wp-content/uploads/classement-aeroports_info.jpg,https://en.wikipedia.org/wiki/Oued_Irara%E2%80%93Krim_Belkacem_Airport,HME,DAUH,"450,929","24,174",(2010)
18,Q3886186,Hassi R'Mel Airport,DAFH,HRM,,3.3103888888889,32.931472222222,774,,,,,https://en.wikipedia.org/wiki/Hassi_R%27Mel_Airport,HRM,DAFH,,,
19,Q2875776,Takhamalt Airport,DAAP,VVZ,17252,8.6224722222222,26.723611111111,542,,,,,https://en.wikipedia.org/wiki/Takhamalt_Airport,VVZ,DAAP,,,
20,Q2876003,In Aménas Airport,DAUZ,IAM,9225,9.6427777777778,28.051444444444,563,3000,,,,https://en.wikipedia.org/wiki/In_Amenas_Airport,IAM,DAUZ,"145,070","3,627",(2007)
21,Q3018067,In Salah Airport,DAUI,INZ,32518,2.5114166666667,27.250527777778,273,,,,,https://en.wikipedia.org/wiki/In_Salah_Airport,INZ,DAUI,,,
