,destination,canonical_destination
0,https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport,https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport
2,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport,https://en.wikipedia.org/wiki/John_F._Kennedy_International_Airport
3,https://en.wikipedia.org/wiki/Miami_International_Airport,https://en.wikipedia.org/wiki/Miami_International_Airport
4,https://en.wikipedia.org/wiki/Philadelphia_International_Airport,https://en.wikipedia.org/wiki/Philadelphia_International_Airport
5,https://en.wikipedia.org/wiki/Jo%C3%A3o_Paulo_II_Airport,https://en.wikipedia.org/wiki/Jo%C3%A3o_Paulo_II_Airport
6,https://en.wikipedia.org/wiki/Heathrow_Airport,https://en.wikipedia.org/wiki/Heathrow_Airport
7,https://en.wikipedia.org/wiki/Hartsfield-Jackson_Atlanta_International_Airport,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport
9,https://en.wikipedia.org/wiki/Logan_International_Airport,https://en.wikipedia.org/wiki/Logan_International_Airport
11,https://en.wikipedia.org/wiki/LaGuardia_Airport,https://en.wikipedia.org/wiki/LaGuardia_Airport
12,https://en.wikipedia.org/wiki/Newark_Liberty_International_Airport,https://en.wikipedia.org/wiki/Newark_Liberty_International_Airport
14,https://en.wikipedia.org/wiki/Frankfurt_Airport,https://en.wikipedia.org/wiki/Frankfurt_Airport
15,https://en.wikipedia.org/wiki/Halifax_Stanfield_International_Airport,https://en.wikipedia.org/wiki/Halifax_Stanfield_International_Airport
17,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport
18,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed
19,https://en.wikipedia.org/wiki/Montr%C3%A9al%E2%80%93Trudeau_International_Airport,https://en.wikipedia.org/wiki/Montr%C3%A9al%E2%80%93Trudeau_International_Airport
21,https://en.wikipedia.org/wiki/Ottawa_Macdonald%E2%80%93Cartier_International_Airport,https://en.wikipedia.org/wiki/Ottawa_Macdonald%E2%80%93Cartier_International_Airport
23,https://en.wikipedia.org/wiki/Vancouver_International_Airport,https://en.wikipedia.org/wiki/Vancouver_International_Airport
24,https://en.wikipedia.org/wiki/Canc%C3%BAn_International_Airport,https://en.wikipedia.org/wiki/Canc%C3%BAn_International_Airport
25,https://en.wikipedia.org/wiki/Daniel_K._Inouye_International_Airport,https://en.wikipedia.org/wiki/Daniel_K._Inouye_International_Airport
26,https://en.wikipedia.org/wiki/Kahului_Airport,https://en.wikipedia.org/wiki/Kahului_Airport
27,https://en.wikipedia.org/wiki/Harry_Reid_International_Airport,https://en.wikipedia.org/wiki/Harry_Reid_International_Airport
28,https://en.wikipedia.org/wiki/Phoenix_Sky_Harbor_International_Airport,https://en.wikipedia.org/wiki/Phoenix_Sky_Harbor_International_Airport
29,https://en.wikipedia.org/wiki/Licenciado_Gustavo_D%C3%ADaz_Ordaz_International_Airport,https://en.wikipedia.org/wiki/Licenciado_Gustavo_D%C3%ADaz_Ordaz_International_Airport
30,https://en.wikipedia.org/wiki/Los_Cabos_International_Airport,https://en.wikipedia.org/wiki/Los_Cabos_International_Airport
31,https://en.wikipedia.org/wiki/Edmonton_International_Airport,https://en.wikipedia.org/wiki/Edmonton_International_Airport
32,https://en.wikipedia.org/wiki/Fort_McMurray_International_Airport,https://en.wikipedia.org/wiki/Fort_McMurray_International_Airport
33,https://en.wikipedia.org/wiki/Grande_Prairie_Airport,https://en.wikipedia.org/wiki/Grande_Prairie_Airport
34,https://en.wikipedia.org/wiki/Kelowna_International_Airport,https://en.wikipedia.org/wiki/Kelowna_International_Airport
35,https://en.wikipedia.org/wiki/Northwest_Regional_Airport_Terrace-Kitimat,https://en.wikipedia.org/wiki/Northwest_Regional_Airport_Terrace-Kitimat
36,https://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport,https://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport
37,https://en.wikipedia.org/wiki/Qu%C3%A9bec_City_Jean_Lesage_International_Airport,https://en.wikipedia.org/wiki/Qu%C3%A9bec_City_Jean_Lesage_International_Airport
39,https://en.wikipedia.org/wiki/Erik_Nielsen_Whitehorse_International_Airport,https://en.wikipedia.org/wiki/Erik_Nielsen_Whitehorse_International_Airport
42,https://en.wikipedia.org/wiki/Seattle%E2%80%93Tacoma_International_Airport,https://en.wikipedia.org/wiki/Seattle%E2%80%93Tacoma_International_Airport
43,https://en.wikipedia.org/wiki/Dallas/Fort_Worth_International_Airport,https://en.wikipedia.org/wiki/Dallas_Fort_Worth_International_Airport
44,https://en.wikipedia.org/wiki/O%27Hare_International_Airport,https://en.wikipedia.org/wiki/O%27Hare_International_Airport
45,https://en.wikipedia.org/wiki/Yellowknife_Airport,https://en.wikipedia.org/wiki/Yellowknife_Airport
46,https://en.wikipedia.org/wiki/Minneapolis%E2%80%93Saint_Paul_International_Airport,https://en.wikipedia.org/wiki/Minneapolis%E2%80%93Saint_Paul_International_Airport
47,https://en.wikipedia.org/wiki/Salt_Lake_City_International_Airport,https://en.wikipedia.org/wiki/Salt_Lake_City_International_Airport
49,https://en.wikipedia.org/wiki/Zurich_Airport,https://en.wikipedia.org/wiki/Zurich_Airport
51,https://en.wikipedia.org/wiki/Abbotsford_International_Airport,https://en.wikipedia.org/wiki/Abbotsford_International_Airport
53,https://en.wikipedia.org/wiki/Region_of_Waterloo_International_Airport,https://en.wikipedia.org/wiki/Region_of_Waterloo_International_Airport
54,https://en.wikipedia.org/wiki/London_International_Airport,https://en.wikipedia.org/wiki/London_International_Airport
57,https://en.wikipedia.org/wiki/Saskatoon_John_G._Diefenbaker_International_Airport,https://en.wikipedia.org/wiki/Saskatoon_John_G._Diefenbaker_International_Airport
60,https://en.wikipedia.org/wiki/Victoria_International_Airport,https://en.wikipedia.org/wiki/Victoria_International_Airport
66,https://en.wikipedia.org/wiki/Amsterdam_Airport_Schiphol,https://en.wikipedia.org/wiki/Amsterdam_Airport_Schiphol
67,https://en.wikipedia.org/wiki/Fredericton_Airport,https://en.wikipedia.org/wiki/Fredericton_International_Airport
68,https://en.wikipedia.org/wiki/John_C._Munro_Hamilton_International_Airport,https://en.wikipedia.org/wiki/John_C._Munro_Hamilton_International_Airport
78,https://en.wikipedia.org/wiki/Bonnyville_Airport,https://en.wikipedia.org/wiki/Bonnyville_Airport
81,https://en.wikipedia.org/wiki/Guanacaste_Airport,https://en.wikipedia.org/wiki/Guanacaste_Airport
82,https://en.wikipedia.org/wiki/Mazatl%C3%A1n_International_Airport,https://en.wikipedia.org/wiki/Mazatl%C3%A1n_International_Airport
83,https://en.wikipedia.org/wiki/Sangster_International_Airport,https://en.wikipedia.org/wiki/Sangster_International_Airport
85,https://en.wikipedia.org/wiki/Punta_Cana_International_Airport,https://en.wikipedia.org/wiki/Punta_Cana_International_Airport
87,https://en.wikipedia.org/wiki/Juan_Gualberto_G%C3%B3mez_Airport,https://en.wikipedia.org/wiki/Juan_Gualberto_G%C3%B3mez_Airport
89,https://en.wikipedia.org/wiki/Denver_International_Airport,https://en.wikipedia.org/wiki/Denver_International_Airport
90,https://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport,https://en.wikipedia.org/wiki/George_Bush_Intercontinental_Airport
91,https://en.wikipedia.org/wiki/San_Francisco_International_Airport,https://en.wikipedia.org/wiki/San_Francisco_International_Airport
92,https://en.wikipedia.org/wiki/Dulles_International_Airport,https://en.wikipedia.org/wiki/Dulles_International_Airport
97,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport
99,https://en.wikipedia.org/wiki/CFB_Comox,https://en.wikipedia.org/wiki/CFB_Comox
112,https://en.wikipedia.org/wiki/John_Wayne_Airport,https://en.wikipedia.org/wiki/John_Wayne_Airport
113,https://en.wikipedia.org/wiki/Orlando_International_Airport,https://en.wikipedia.org/wiki/Orlando_International_Airport
115,https://en.wikipedia.org/wiki/Palm_Springs_International_Airport,https://en.wikipedia.org/wiki/Palm_Springs_International_Airport
116,https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport,https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport
119,https://en.wikipedia.org/wiki/Regina_International_Airport,https://en.wikipedia.org/wiki/Regina_International_Airport
120,https://en.wikipedia.org/wiki/San_Diego_International_Airport,https://en.wikipedia.org/wiki/San_Diego_International_Airport
124,https://en.wikipedia.org/wiki/Narita_International_Airport,https://en.wikipedia.org/wiki/Narita_International_Airport
129,https://en.wikipedia.org/wiki/Austin%E2%80%93Bergstrom_International_Airport,https://en.wikipedia.org/wiki/Austin%E2%80%93Bergstrom_International_Airport
130,https://en.wikipedia.org/wiki/Josep_Tarradellas_Barcelona%E2%80%93El_Prat_Airport,https://en.wikipedia.org/wiki/Josep_Tarradellas_Barcelona%E2%80%93El_Prat_Airport
131,https://en.wikipedia.org/wiki/Philip_S._W._Goldson_International_Airport,https://en.wikipedia.org/wiki/Philip_S._W._Goldson_International_Airport
133,https://en.wikipedia.org/wiki/Charlottetown_Airport,https://en.wikipedia.org/wiki/Charlottetown_Airport
136,https://en.wikipedia.org/wiki/Detroit_Metropolitan_Airport,https://en.wikipedia.org/wiki/Detroit_Metropolitan_Airport
137,https://en.wikipedia.org/wiki/Dublin_Airport,https://en.wikipedia.org/wiki/Dublin_Airport
138,https://en.wikipedia.org/wiki/Edinburgh_Airport,https://en.wikipedia.org/wiki/Edinburgh_Airport
139,https://en.wikipedia.org/wiki/Fort_Lauderdale%E2%80%93Hollywood_International_Airport,https://en.wikipedia.org/wiki/Fort_Lauderdale%E2%80%93Hollywood_International_Airport
141,https://en.wikipedia.org/wiki/Bah%C3%ADas_de_Huatulco_International_Airport,https://en.wikipedia.org/wiki/Bah%C3%ADas_de_Huatulco_International_Airport
142,https://en.wikipedia.org/wiki/Ixtapa-Zihuatanejo_International_Airport,https://en.wikipedia.org/wiki/Ixtapa-Zihuatanejo_International_Airport
144,https://en.wikipedia.org/wiki/Kona_International_Airport,https://en.wikipedia.org/wiki/Kona_International_Airport
146,https://en.wikipedia.org/wiki/Lihue_Airport,https://en.wikipedia.org/wiki/Lihue_Airport
147,https://en.wikipedia.org/wiki/Gatwick_Airport,https://en.wikipedia.org/wiki/Gatwick_Airport
148,https://en.wikipedia.org/wiki/Loreto_International_Airport,https://en.wikipedia.org/wiki/Loreto_International_Airport
149,https://en.wikipedia.org/wiki/Playa_de_Oro_International_Airport,https://en.wikipedia.org/wiki/Playa_de_Oro_International_Airport
151,https://en.wikipedia.org/wiki/Greater_Moncton_Rom%C3%A9o_LeBlanc_International_Airport,https://en.wikipedia.org/wiki/Greater_Moncton_Rom%C3%A9o_LeBlanc_International_Airport
153,https://en.wikipedia.org/wiki/Nashville_International_Airport,https://en.wikipedia.org/wiki/Nashville_International_Airport
154,https://en.wikipedia.org/wiki/Lynden_Pindling_International_Airport,https://en.wikipedia.org/wiki/Lynden_Pindling_International_Airport
155,https://en.wikipedia.org/wiki/Phoenix%E2%80%93Mesa_Gateway_Airport,https://en.wikipedia.org/wiki/Phoenix%E2%80%93Mesa_Gateway_Airport
158,https://en.wikipedia.org/wiki/Leonardo_da_Vinci%E2%80%93Fiumicino_Airport,https://en.wikipedia.org/wiki/Leonardo_da_Vinci%E2%80%93Fiumicino_Airport
161,https://en.wikipedia.org/wiki/St._John%27s_International_Airport,https://en.wikipedia.org/wiki/St._John%27s_International_Airport
162,https://en.wikipedia.org/wiki/Thunder_Bay_International_Airport,https://en.wikipedia.org/wiki/Thunder_Bay_International_Airport
166,https://en.wikipedia.org/wiki/Windsor_International_Airport,https://en.wikipedia.org/wiki/Windsor_International_Airport
168,https://en.wikipedia.org/wiki/Brandon_Municipal_Airport,https://en.wikipedia.org/wiki/Brandon_Municipal_Airport
172,https://en.wikipedia.org/wiki/Fort_St._John_Airport,https://en.wikipedia.org/wiki/Fort_St._John_Airport
174,https://en.wikipedia.org/wiki/Kamloops_Airport,https://en.wikipedia.org/wiki/Kamloops_Airport
176,https://en.wikipedia.org/wiki/Nanaimo_Airport,https://en.wikipedia.org/wiki/Nanaimo_Airport
177,https://en.wikipedia.org/wiki/Penticton_Regional_Airport,https://en.wikipedia.org/wiki/Penticton_Regional_Airport
178,https://en.wikipedia.org/wiki/Portland_International_Airport,https://en.wikipedia.org/wiki/Portland_International_Airport
179,https://en.wikipedia.org/wiki/Prince_George_Airport,https://en.wikipedia.org/wiki/Prince_George_Airport
186,https://en.wikipedia.org/wiki/Cranbrook/Canadian_Rockies_International_Airport,https://en.wikipedia.org/wiki/Cranbrook/Canadian_Rockies_International_Airport
187,https://en.wikipedia.org/wiki/Lethbridge_Airport,https://en.wikipedia.org/wiki/Lethbridge_Airport
188,https://en.wikipedia.org/wiki/Lloydminster_Airport,https://en.wikipedia.org/wiki/Lloydminster_Airport
189,https://en.wikipedia.org/wiki/Medicine_Hat_Airport,https://en.wikipedia.org/wiki/Medicine_Hat_Airport
190,https://en.wikipedia.org/wiki/Montr%C3%A9al%E2%80%93Pierre_Elliott_Trudeau_International_Airport,https://en.wikipedia.org/wiki/Montr%C3%A9al%E2%80%93Trudeau_International_Airport
196,https://en.wikipedia.org/wiki/Calgary_International_Airport,https://en.wikipedia.org/wiki/Calgary_International_Airport
204,https://en.wikipedia.org/wiki/High_Level_Airport,https://en.wikipedia.org/wiki/High_Level_Airport
206,https://en.wikipedia.org/wiki/Frankfurt_International_Airport,https://en.wikipedia.org/wiki/Frankfurt_Airport
228,https://en.wikipedia.org/wiki/Fort_Chipewyan_Airport,https://en.wikipedia.org/wiki/Fort_Chipewyan_Airport
229,https://en.wikipedia.org/wiki/Fort_Smith_Airport,https://en.wikipedia.org/wiki/Fort_Smith_Airport
230,https://en.wikipedia.org/wiki/Hay_River_Airport,https://en.wikipedia.org/wiki/Hay_River/Merlyn_Carter_Airport
238,https://en.wikipedia.org/wiki/Lic._Gustavo_D%C3%ADaz_Ordaz_International_Airport,https://en.wikipedia.org/wiki/Licenciado_Gustavo_D%C3%ADaz_Ordaz_International_Airport
246,https://en.wikipedia.org/wiki/McCarran_International_Airport,https://en.wikipedia.org/wiki/Harry_Reid_International_Airport
280,https://en.wikipedia.org/wiki/St._John%E2%80%99s_International_Airport,https://en.wikipedia.org/wiki/St._John%27s_International_Airport
288,https://en.wikipedia.org/wiki/Saskatoon_International_Airport,https://en.wikipedia.org/wiki/Saskatoon_John_G._Diefenbaker_International_Airport
293,https://en.wikipedia.org/wiki/Seattle_Tacoma_International_Airport,https://en.wikipedia.org/wiki/Seattle%E2%80%93Tacoma_International_Airport
295,https://en.wikipedia.org/wiki/Fort_McMurray_Airport,https://en.wikipedia.org/wiki/Fort_McMurray_International_Airport
302,https://en.wikipedia.org/wiki/Tucson_International_Airport,https://en.wikipedia.org/wiki/Tucson_International_Airport
312,https://en.wikipedia.org/wiki/Hay_River/Merlyn_Carter_Airport,https://en.wikipedia.org/wiki/Hay_River/Merlyn_Carter_Airport
318,https://en.wikipedia.org/wiki/Whitecourt_Airport,https://en.wikipedia.org/wiki/Whitecourt_Airport
323,https://en.wikipedia.org/wiki/Winnipeg_International_Airport,https://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport
339,https://en.wikipedia.org/wiki/Bella_Bella_(Campbell_Island)_Airport,https://en.wikipedia.org/wiki/Bella_Bella_(Campbell_Island)_Airport
422,https://en.wikipedia.org/wiki/Fort_Nelson_Airport,https://en.wikipedia.org/wiki/Fort_Nelson_Airport
445,https://en.wikipedia.org/wiki/Smithers_Airport,https://en.wikipedia.org/wiki/Smithers_Airport
455,https://en.wikipedia.org/wiki/Port_Hardy_Airport,https://en.wikipedia.org/wiki/Port_Hardy_Airport
465,https://en.wikipedia.org/wiki/Mexico_City_Airport,https://en.wikipedia.org/wiki/Mexico_City_International_Airport
466,https://en.wikipedia.org/wiki/Beijing%E2%80%93Capital,https://en.wikipedia.org/wiki/Beijing_Capital_International_Airport
467,https://en.wikipedia.org/wiki/Brisbane_Airport,https://en.wikipedia.org/wiki/Brisbane_Airport
470,https://en.wikipedia.org/wiki/Dubai_International_Airport,https://en.wikipedia.org/wiki/Dubai_International_Airport
473,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport
481,https://en.wikipedia.org/wiki/Mexico_City_International_Airport,https://en.wikipedia.org/wiki/Mexico_City_International_Airport
490,https://en.wikipedia.org/wiki/Incheon_International_Airport,https://en.wikipedia.org/wiki/Incheon_International_Airport
491,https://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport,https://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport
492,https://en.wikipedia.org/wiki/Sydney_Airport,https://en.wikipedia.org/wiki/Sydney_Airport
497,https://en.wikipedia.org/wiki/Ted_Stevens_Anchorage_International_Airport,https://en.wikipedia.org/wiki/Ted_Stevens_Anchorage_International_Airport
498,https://en.wikipedia.org/wiki/Auckland_Airport,https://en.wikipedia.org/wiki/Auckland_Airport
500,https://en.wikipedia.org/wiki/Suvarnabhumi_Airport,https://en.wikipedia.org/wiki/Suvarnabhumi_Airport
501,https://en.wikipedia.org/wiki/Boston_Logan_International_Airport,https://en.wikipedia.org/wiki/Logan_International_Airport
507,https://en.wikipedia.org/wiki/Kansai_International_Airport,https://en.wikipedia.org/wiki/Kansai_International_Airport
511,https://en.wikipedia.org/wiki/Z%C3%BCrich_Airport,https://en.wikipedia.org/wiki/Zurich_Airport
512,https://en.wikipedia.org/wiki/West_Kootenay_Regional_Airport,https://en.wikipedia.org/wiki/West_Kootenay_Regional_Airport
524,https://en.wikipedia.org/wiki/Prince_Rupert_Airport,https://en.wikipedia.org/wiki/Prince_Rupert_Airport
526,https://en.wikipedia.org/wiki/Sacramento_International_Airport,https://en.wikipedia.org/wiki/Sacramento_International_Airport
528,https://en.wikipedia.org/wiki/Sandspit_Airport,https://en.wikipedia.org/wiki/Sandspit_Airport
538,https://en.wikipedia.org/wiki/Beijing_Capital_International_Airport,https://en.wikipedia.org/wiki/Beijing_Capital_International_Airport
540,https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport,https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport
550,https://en.wikipedia.org/wiki/Haneda_Airport,https://en.wikipedia.org/wiki/Haneda_Airport
553,https://en.wikipedia.org/wiki/Chicago_O%27Hare_International_Airport,https://en.wikipedia.org/wiki/O%27Hare_International_Airport
559,https://en.wikipedia.org/wiki/Campbell_River_Airport,https://en.wikipedia.org/wiki/Campbell_River_Airport
562,https://en.wikipedia.org/wiki/Quesnel_Airport,https://en.wikipedia.org/wiki/Quesnel_Airport
564,https://en.wikipedia.org/wiki/Williams_Lake_Airport,https://en.wikipedia.org/wiki/Williams_Lake_Airport
565,https://en.wikipedia.org/wiki/Taiwan_Taoyuan_International_Airport,https://en.wikipedia.org/wiki/Taoyuan_International_Airport
568,https://en.wikipedia.org/wiki/Campbell_River_Water_Aerodrome,https://en.wikipedia.org/wiki/Campbell_River_Water_Aerodrome
575,https://en.wikipedia.org/wiki/Nadi_International_Airport,https://en.wikipedia.org/wiki/Nadi_International_Airport
596,https://en.wikipedia.org/wiki/Gabriola_Island,https://en.wikipedia.org/wiki/Gabriola_Island
597,https://en.wikipedia.org/wiki/Shenzhen_Bao%27an_International_Airport,https://en.wikipedia.org/wiki/Shenzhen_Bao%27an_International_Airport
598,https://en.wikipedia.org/wiki/Bedwell_Harbour_Water_Aerodrome,https://en.wikipedia.org/wiki/Bedwell_Harbour_Water_Aerodrome
599,https://en.wikipedia.org/wiki/Comox_Water_Aerodrome,https://en.wikipedia.org/wiki/Comox_Water_Aerodrome
600,https://en.wikipedia.org/wiki/Ganges_Water_Aerodrome,https://en.wikipedia.org/wiki/Ganges_Water_Aerodrome
601,https://en.wikipedia.org/wiki/Mayne_Island_Water_Aerodrome,https://en.wikipedia.org/wiki/Mayne_Island_Water_Aerodrome
602,https://en.wikipedia.org/wiki/Nanaimo_Harbour_Water_Aerodrome,https://en.wikipedia.org/wiki/Nanaimo_Harbour_Water_Aerodrome
603,https://en.wikipedia.org/wiki/Sechelt,https://en.wikipedia.org/wiki/Sechelt
604,https://en.wikipedia.org/wiki/Tofino_Harbour_Water_Aerodrome,https://en.wikipedia.org/wiki/Tofino_Harbour_Water_Aerodrome
605,https://en.wikipedia.org/wiki/Victoria_Airport_Water_Aerodrome,https://en.wikipedia.org/wiki/Victoria_Airport_Water_Aerodrome
606,https://en.wikipedia.org/wiki/Victoria_Inner_Harbour_Airport,https://en.wikipedia.org/wiki/Victoria_Inner_Harbour_Airport
607,https://en.wikipedia.org/wiki/Whistler/Green_Lake_Water_Aerodrome,https://en.wikipedia.org/wiki/Whistler/Green_Lake_Water_Aerodrome
609,https://en.wikipedia.org/wiki/Vancouver_Harbour_Flight_Centre,https://en.wikipedia.org/wiki/Vancouver_Harbour_Flight_Centre
611,https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport
612,https://en.wikipedia.org/wiki/Qualicum_Beach_Airport,https://en.wikipedia.org/wiki/Qualicum_Beach_Airport
619,https://en.wikipedia.org/wiki/Munich_Airport,https://en.wikipedia.org/wiki/Munich_Airport
626,https://en.wikipedia.org/wiki/Anahim_Lake_Airport,https://en.wikipedia.org/wiki/Anahim_Lake_Airport
628,https://en.wikipedia.org/wiki/Bella_Coola_Airport,https://en.wikipedia.org/wiki/Bella_Coola_Airport
632,https://en.wikipedia.org/wiki/Masset_Airport,https://en.wikipedia.org/wiki/Masset_Airport
635,https://en.wikipedia.org/wiki/Powell_River_Airport,https://en.wikipedia.org/wiki/Powell_River_Airport
637,https://en.wikipedia.org/wiki/Tofino/Long_Beach_Airport,https://en.wikipedia.org/wiki/Tofino/Long_Beach_Airport
638,https://en.wikipedia.org/wiki/Trail_Airport,https://en.wikipedia.org/wiki/Trail_Airport
641,https://en.wikipedia.org/wiki/Revelstoke_Airport,https://en.wikipedia.org/wiki/Revelstoke_Airport
642,https://en.wikipedia.org/wiki/Bamfield_Water_Aerodrome,https://en.wikipedia.org/wiki/Bamfield_Water_Aerodrome
643,https://en.wikipedia.org/wiki/Galiano_Island,https://en.wikipedia.org/wiki/Galiano_Island
645,https://en.wikipedia.org/wiki/Port_Alberni_Water_Aerodrome,https://en.wikipedia.org/wiki/Port_Alberni_Water_Aerodrome
