,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
0,Q178162,Graz Airport,LOWG,GRZ,289440,15.439166666667,46.993055555556,340,3000,1036929,1036929,https://www.flughafen-graz.at/unternehmen/presse/aktuelles/ansicht/fhg/flughafen-graz-schliesst-2019-mit-neuem-passagierrekord-ab.html,https://en.wikipedia.org/wiki/Graz_Airport,GRZ,LOWG,"226,561","4,653",(2021)
1,Q694434,Innsbruck Airport,LOWI,INN,131961,11.343888888889,47.260277777778,581,2000,1144541,1144541,http://www.statistik.at/web_de/statistiken/energie_umwelt_innovation_mobilitaet/verkehr/luftfahrt/personenverkehr/070712.html,https://en.wikipedia.org/wiki/Innsbruck_Airport,INN,LOWI,"125,495","2,010",(2021)
2,Q694404,Klagenfurt Airport,LOWK,KLU,101403,14.337222222222,46.642777777778,448.6664832,2720,209434,522697,http://www.statistik.at/web_de/statistiken/energie_umwelt_innovation_mobilitaet/verkehr/luftfahrt/personenverkehr/070712.html,https://en.wikipedia.org/wiki/Klagenfurt_Airport,KLU,LOWK,"29,577",544,(2021)
3,Q700852,Linz Airport,LOWL,LNZ,210165,14.1875,48.233333333333,299,3000,436024,803163,https://de.wikipedia.org/wiki/Flughafen_Linz,https://en.wikipedia.org/wiki/Linz_Airport,LNZ,LOWL,"68,509","3,677",(2021)
4,Q251538,Salzburg Airport,LOWS,SZG,155021,13.003333333333,47.794444444444,430.0736466,2750,1717991,1946422,http://www.statistik.at/web_de/statistiken/energie_umwelt_innovation_mobilitaet/verkehr/luftfahrt/personenverkehr/070712.html,https://en.wikipedia.org/wiki/Salzburg_Airport,SZG,LOWS,"299,845","3,677",(2021)
5,Q32999,Wien-Schwechat Airport,LOWW,VIE,1973403,16.569722,48.110278,179,3600,31662189,31662189,http://www.statistik.at/web_de/statistiken/energie_umwelt_innovation_mobilitaet/verkehr/luftfahrt/personenverkehr/070712.html,https://en.wikipedia.org/wiki/Vienna_International_Airport,VIE,LOWW,"10,405,815","111,567",(2021)
6,Q1431001,Bol Airport,LDSB,BWK,14434,16.679722222222,43.285833333333,541.3258656,,25342,30170,https://www.exyuaviation.com/2020/01/ex-yu-airport-race-2019.html,https://en.wikipedia.org/wiki/Bra%C4%8D_Airport,BWK,LDSB,"15,948",,(2022)
7,Q1147000,Dubrovnik Airport,LDDU,DBV,42615,18.268333333333,42.561388888889,161,,2896227,2896227,https://www.exyuaviation.com/2021/02/ex-yu-airports-race-2020.html,https://en.wikipedia.org/wiki/Dubrovnik_Airport,DBV,LDDU,"2,149,181",,(2022)
8,Q1423278,Osijek Airport,LDOS,OSI,84104,18.810277777778,45.462777777778,88.392174,,46378,67235,https://www.exyuaviation.com/2020/01/ex-yu-airport-race-2019.html,https://en.wikipedia.org/wiki/Osijek_Airport,OSI,LDOS,"15,875",,(2022)
9,Q389327,Pula Airport,LDPL,PUY,57053,13.922222222222,44.893611111111,83.5153644,2950,777568,777568,https://www.exyuaviation.com/2020/01/ex-yu-airport-race-2019.html,https://en.wikipedia.org/wiki/Pula_Airport,PUY,LDPL,"395,178",,(2022)
10,Q1141414,Rijeka Airport,LDRI,RJK,128624,14.570277777778,45.216944444444,84.7345668,2500,200841,200841,http://rijeka-airport.hr/pages/sub/25/doc_en/RJK-traffic-2019.pdf,https://en.wikipedia.org/wiki/Rijeka_Airport,RJK,LDRI,"164,086",,(2022)
11,Q1125392,Split Airport,LDSP,SPU,178102,16.298055555556,43.538888888889,24.0792474,2550,3301930,3301930,https://www.exyuaviation.com/2020/01/ex-yu-airport-race-2019.html,https://en.wikipedia.org/wiki/Split_Airport,SPU,LDSP,"2,908,577",,(2022)
12,Q155359,Zadar Airport,LDZD,ZAD,75082,15.346666666667,44.108333333333,88.0873734,2500,801347,1102381,https://www.exyuaviation.com/2020/01/ex-yu-airport-race-2019.html,https://en.wikipedia.org/wiki/Zadar_Airport,ZAD,LDZD,"1,102,381",,(2022)
13,Q128016,Zagreb Airport,LDZA,ZAG,809268,16.068888888889,45.743055555556,107.5946118,3251,3435531,3435531,https://ir.tav.aero/uploads/documents/Documents07012021164620_.xlsx,https://en.wikipedia.org/wiki/Zagreb_Airport,ZAG,LDZA,"3,124,605","42,310",(2022)
14,Q748848,Brno-Tuřany Airport,LKTB,BRQ,379466,16.693888888889,49.151388888889,237.1348668,2650,543633,557952,http://www.brno-airport.cz/letiste/statistiky/,https://en.wikipedia.org/wiki/Brno%E2%80%93Tu%C5%99any_Airport,BRQ,LKTB,471,,(2022)
15,Q1431669,Karlovy Vary Airport,LKKV,KLV,45500,12.915,50.203055555556,606,2150,,100872,https://ec.europa.eu/eurostat/web/products-datasets/-/avia_tf_apal,https://en.wikipedia.org/wiki/Karlovy_Vary_Airport,KLV,LKKV,"62,434","7,736",(2019)
16,Q922954,Leoš Janáček Airport Ostrava,LKMT,OSR,279791,18.110833333333,49.696111111111,257,3500,323320,377936,,https://en.wikipedia.org/wiki/Leo%C5%A1_Jan%C3%A1%C4%8Dek_Airport_Ostrava,OSR,LKMT,37,,(2020)
17,Q2115080,Pardubice Airport,LKPD,PED,88520,15.738611111111,50.013333333333,226,2500,102045,184140,https://www.airport-pardubice.cz/o-letisti/,https://en.wikipedia.org/wiki/Pardubice_Airport,PED,LKPD,"147,572",,(2018[1])
18,Q99172,Václav Havel Airport Prague,LKPR,PRG,1275406,14.26,50.100833333333,376,3715,17804900,17804900,https://www.prg.aero/sites/default/files/obsah/B2B/Files/Statistics%20and%20reports/Prague%20Airport%20Traffic%20Reports/Traffic_report_1912_public.pdf,https://en.wikipedia.org/wiki/V%C3%A1clav_Havel_Airport_Prague,PRG,LKPR,"17,804,900[1][2]","154,777",(2019)
19,Q160556,Berlin Brandenburg Airport,EDDB,BER,3677472,13.500671666667,52.362246666667,46.9392924,4000,,19846114,https://www.adv.aero/wp-content/uploads/2015/11/12.2022-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Berlin_Brandenburg_Airport,BER,EDDB,"19,845,046","00,164,293",(2022)
20,Q665365,Bremen Airport,EDDW,BRE,563290,8.7866666666667,53.047333333333,4.2672084,2040,2308338,2773129,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Bremen_Airport,BRE,EDDW,"1,493,007","25,083",(2022)
21,Q157741,Cologne Bonn Airport,EDDK,CGN,1073096,7.12254,50.87826,76.8097512,3815,12400000,12958200,https://www.koeln-bonn-airport.de/presse/pressemitteilungen/124-millionen-passagiere-in-2019.html,https://en.wikipedia.org/wiki/Cologne_Bonn_Airport,CGN,EDDK,"8,756,712","120,975",(2022)
22,Q313587,Dortmund Airport,EDLW,DTM,586852,7.6122222222222,51.518333333333,129.2354544,2000,2719566,2719566,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Dortmund_Airport,DTM,EDLW,"2,586,238","36,258",(2022)
23,Q657005,Dresden Airport,EDDC,DRS,561922,13.768,51.134344444444,229.8196524,2850,1595675,1917915,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Dresden_Airport,DRS,EDDC,"838,387","020,119",(2022)
24,Q58226,Düsseldorf Airport,EDDL,DUS,619477,6.7666666666667,51.289444444444,44.8056882,3000,25507566,25507566,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/D%C3%BCsseldorf_Airport,DUS,EDDL,"16,071,936","140,598",(2022)
25,Q567426,Emden Airport,EDWE,EME,49523,7.2256666666667,53.391,0.6096012,1300,,,,https://en.wikipedia.org/wiki/Emden_Airport,EME,EDWE,"21,984","8,391",(2005)
26,Q703794,Erfurt-Weimar Airport,EDDE,ERF,213835,10.958056,50.979722,316,,156326,526241,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Erfurt%E2%80%93Weimar_Airport,ERF,EDDE,"137,779","6,048",(2022)
27,Q46033,Frankfurt Airport,EDDF,FRA,759224,8.5704555555556,50.033305555556,110.9474184,4000,70560987,70560987,https://www.fraport.com/en/our-company/investors/traffic-figures.html,https://en.wikipedia.org/wiki/Frankfurt_Airport,FRA,EDDF,"48,918,482","382,211",(2022)
28,Q682232,Friedrichshafen Airport,EDNY,FDH,61561,9.5114861111111,47.671316666667,416.9672208,2356,489921,658104,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Friedrichshafen_Airport,FDH,EDNY,"339,556","029,105",(2022)
29,Q158211,Frankfurt-Hahn Airport,EDFH,HHN,4084844,7.2610777777778,49.945819444444,502.6161894,3800,1496362,4014898,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Frankfurt%E2%80%93Hahn_Airport,HHN,EDFH,"1,377,087","0,015,965",(2022)
30,Q27706,Hamburg Airport,EDDH,HAM,1853935,9.991111,53.630278,14.6304288,3666,17308773,17622997,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Hamburg_Airport,HAM,EDDH,"11,096,296","00,109,510",(2022)
31,Q170169,Hannover Airport,EDDV,HAJ,535932,9.6926337299163,52.459479315765,55.7785098,3800,6301366,6324634,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Hannover_Airport,HAJ,EDDV,"3,961,983","0,061,871",(2022)
32,Q556109,Heide-Büsum Airport,EDXB,HEI,21844,8.8986111111111,54.153611111111,2.1336042,720,,19162,https://ec.europa.eu/eurostat/web/products-datasets/-/avia_tf_apal,https://en.wikipedia.org/wiki/Heide%E2%80%93B%C3%BCsum_Airport,HEI,EDXB,,,
33,Q20739,Heligoland Airfield,EDXH,HGL,1284,7.9144444444444,54.185833333333,2.4384048,,,24724,https://ec.europa.eu/eurostat/web/products-datasets/-/avia_tf_apal,https://en.wikipedia.org/wiki/Heligoland_Airfield,HGL,EDXH,,,
34,Q531664,Heringsdorf Airport,EDAH,HDF,1135,14.152222222222,53.878611111111,29,2305,,41733,,https://en.wikipedia.org/wiki/Heringsdorf_Airport,HDF,EDAH,,,
35,Q529143,Kassel Airport,EDVK,KSF,200406,9.3921583333333,51.420791666667,262.4333166,2500,120712,131817,"https://de.wikipedia.org/wiki/Flughafen_Kassel-Calden#Zahlen,_Daten_und_Fakten",https://en.wikipedia.org/wiki/Kassel_Airport,KSF,EDVK,"115,597","029,814",(2022)
36,Q668382,Leipzig/Halle Airport,EDDP,LEJ,615081,12.236388888889,51.423888888889,143.256282,3600,2615801,2719256,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Leipzig/Halle_Airport,LEJ,EDDP,"1,558,602","0,080,902",(2022)
37,Q706450,Lübeck Airport,EDHL,LBC,216277,10.719167,53.805278,17,2102,,715731,https://www.adv.aero/wp-content/uploads/2015/11/12.2022-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/L%C3%BCbeck_Airport,LBC,EDHL,"82,590","23,089",(2022)
38,Q315060,Mannheim City Airport,EDFM,MHG,311831,8.5142638888889,49.472705555556,94.1833854,1066,,40796,https://ec.europa.eu/eurostat/web/products-datasets/-/avia_tf_apal,https://en.wikipedia.org/wiki/Mannheim_City_Airport,MHG,EDFM,,,
39,Q651281,Memmingen Airport,EDJA,FMM,44721,10.239483333333,47.988822222222,633.6804474,2630,1722764,1991654,https://www.allgaeu-airport.de/neuer-passagierrekord-in-2019/,https://en.wikipedia.org/wiki/Memmingen_Airport,FMM,EDJA,"1,991,208","0,024,648",(2022)
40,Q131402,Munich Airport,EDDM,MUC,1487708,11.786111111111,48.353888888889,453.2384922,4000,47959885,47959885,https://www.munich-airport.de/_b/0000000000000008249199bb5e1c6211/vb_2019.pdf,https://en.wikipedia.org/wiki/Munich_Airport,MUC,EDDM,"31,642,738","00,285,028",(2022)
41,Q673760,Münster Osnabrück International Airport,EDDG,FMO,317713,7.68483,52.134642,48.4632954,2170,986260,1764885,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/M%C3%BCnster_Osnabr%C3%BCck_Airport,FMO,EDDG,"830,772","037,678",(2022)
42,Q265994,Nuremberg Airport,EDDN,NUE,510632,11.078055555556,49.498611111111,318.8214276,2700,4111689,4466864,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Nuremberg_Airport,NUE,EDDN,"3,272,138","0,048,216",(2022)
43,Q685536,Paderborn Lippstadt Airport,EDLP,PAD,152531,8.6172222222222,51.615277777778,213.0556194,2172,693404,1363236,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Paderborn_Lippstadt_Airport,PAD,EDLP,"502,621","038,035",(2022)
44,Q820223,Rostock Airport,ETNL,RLG,208400,12.278333333333,53.918333333333,42.672084,,148165,296027,,https://en.wikipedia.org/wiki/Rostock%E2%80%93Laage_Airport,RLG,ETNL,"60,997","15,440",(2022)
45,Q697101,Saarbrücken Airport,EDDR,SCN,179634,7.1095083333333,49.214552777778,322.4790348,1990,366574,518283,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Saarbr%C3%BCcken_Airport,SCN,EDDR,"300,034","006,882",(2022)
46,Q158732,Stuttgart Airport,EDDS,STR,626275,9.2219638888889,48.689877777778,388.9255656,3345,12721441,12721441,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Stuttgart_Airport,STR,EDDS,"6,986,943","0,085,822",(2022)
47,Q632410,Niederrhein Airport,EDLV,NRN,310974,6.1419388888889,51.601388888889,32.3088636,2440,1231100,2896730,https://www.adv.aero/wp-content/uploads/2016/02/12.2019-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Weeze_Airport,NRN,EDLV,"1,036,882","0,015,533",(2022)
48,Q20755,Sylt Airport,EDXW,GWT,18118,8.3405555555556,54.913333333333,16,2120,,138621,https://www.adv.aero/wp-content/uploads/2015/11/12.2022-ADV-Monatsstatistik.pdf,https://en.wikipedia.org/wiki/Sylt_Airport,GWT,EDXW,"119,763","012,641",(2022)
49,Q819200,Zweibrücken airfield,EDRZ,ZQW,34091,7.4006472222222,49.209552777778,345.3390798,2675,,,,https://en.wikipedia.org/wiki/Zweibr%C3%BCcken_Airport,ZQW,EDRZ,"220,740","11,855",(2013)
50,Q500945,Budapest Ferenc Liszt International Airport,LHBP,BUD,1706851,19.261944444444,47.439444444444,151,3750,16173489,16173489,http://statinfo.ksh.hu/Statinfo/haViewer.jsp,https://en.wikipedia.org/wiki/Budapest_Ferenc_Liszt_International_Airport,BUD,LHBP,"12,200,000[2]",,(2022)
51,Q903138,Debrecen International Airport,LHDC,DEB,200974,21.615277777778,47.488888888889,110,2498,601236,601236,http://statinfo.ksh.hu/Statinfo/haViewer.jsp,https://en.wikipedia.org/wiki/Debrecen_International_Airport,DEB,LHDC,381,,(2018)
52,Q1187044,Hévíz–Balaton Airport,LHSM,SOB,1906,17.159166666667,46.686388888889,124.3586448,2500,9123,105697,https://statinfo.ksh.hu/Statinfo/haViewer.jsp,https://en.wikipedia.org/wiki/H%C3%A9v%C3%ADz%E2%80%93Balaton_Airport,SOB,LHSM,,,
53,Q1407275,Bydgoszcz Ignacy Jan Paderewski Airport,EPBY,BZG,337666,17.977777777778,53.096666666667,72,2500,425230,425230,http://plb.pl/en/statistics/,https://en.wikipedia.org/wiki/Bydgoszcz_Ignacy_Jan_Paderewski_Airport,BZG,EPBY,"127,959[1]",,(2020)
54,Q779984,Gdańsk Lech Wałęsa Airport,EPGD,GDN,748986,18.466111111111,54.3775,1487,2800,5376120,5376120,https://www.airport.gdansk.pl/airport/news/we-are-breaking-the-records-the-summary-of-2019-at-the-gdansk-airport-n1735.html,https://en.wikipedia.org/wiki/Gda%C5%84sk_Lech_Wa%C5%82%C4%99sa_Airport,GDN,EPGD,"4,576,705","43,987",(2022)
55,Q1162558,Katowice International Airport,EPKT,KTW,285711,19.08,50.474166666667,303.276597,,4843889,4843889,https://www.katowice-airport.com/en/our-airport/statistics/annual-statistics,https://en.wikipedia.org/wiki/Katowice_Airport,KTW,EPKT,"4,843,889[4]","41,606[4]",(2019)
56,Q581545,John Paul II International Airport Kraków-Balice,EPKK,KRK,800653,19.784722222222,50.077777777778,241.0972746,2550,8410817,8410817,https://hotlot.pl/lotnisko-krakow-balice/,https://en.wikipedia.org/wiki/Krak%C3%B3w_John_Paul_II_International_Airport,KRK,EPKK,"7,394,219[1]","51,777",(2022)
57,Q764554,Łódź Władysław Reymont Airport,EPLL,LCJ,670642,19.398055555556,51.721944444444,184,2500,241707,463459,https://www.airport.lodz.pl/pl/moje-lotnisko/statystyki,https://en.wikipedia.org/wiki/%C5%81%C3%B3d%C5%BA_W%C5%82adys%C5%82aw_Reymont_Airport,LCJ,EPLL,"241,707",,(2019)
58,Q620446,Lublin Airport,EPLB,LUZ,334681,22.690277777778,51.231944444444,193,2520,357366,455188,https://ec.europa.eu/eurostat/web/products-datasets/-/avia_tf_apal,https://en.wikipedia.org/wiki/Lublin_Airport,LUZ,EPLB,"455,188","4,980",(2018)
59,Q1432944,Szczytno-Szymany International Airport,EPSY,SZY,22389,20.937777777778,53.481944444444,141,2500,154499,154499,https://www.pasazer.com/statystyki-lotnisk/pl,https://en.wikipedia.org/wiki/Olsztyn-Mazury_Airport,SZY,EPSY,121,,(2018)
60,Q1361639,Poznań-Ławica Airport,EPPO,POZ,546859,16.82633,52.42103,94,2504,2379635,2476304,https://poznanairport.pl/en/about-us/statistics/,https://en.wikipedia.org/wiki/Pozna%C5%84%E2%80%93%C5%81awica_Airport,POZ,EPPO,"2,476,304","24,391",(2018)
61,Q1432651,Rzeszów-Jasionka Airport,EPRZ,RZE,195871,22.018888888889,50.11,211,3200,772238,772238,https://www.pasazer.com/statystyki-lotnisk/pl,https://en.wikipedia.org/wiki/Rzesz%C3%B3w%E2%80%93Jasionka_Airport,RZE,EPRZ,"772,238","18,806",(2019)
62,Q1432917,"""Solidarity"" Szczecin-Goleniów Airport",EPSC,SZZ,396168,14.902222222222,53.584722222222,47,2500,576072,598971,http://www.airport.com.pl/biznes/statystyki/rok-2019/,https://en.wikipedia.org/wiki/Solidarity_Szczecin%E2%80%93Goleni%C3%B3w_Airport,SZZ,EPSC,"598,971[1]","8,757",(2018)
63,Q465071,Warsaw Chopin Airport,EPWA,WAW,1860281,20.967222222222,52.165833333333,110.0330166,3689,18876854,18876854,https://ec.europa.eu/eurostat/web/products-datasets/-/avia_tf_apal,https://en.wikipedia.org/wiki/Warsaw_Chopin_Airport,WAW,EPWA,"18,860,000",,(2019)
64,Q1401995,Warsaw-Modlin Mazovia Airport,EPMO,WMI,1860281,20.651666666667,52.451111111111,104,,3106041,3126428,https://hotlot.pl/lotnisko-modlin/,https://en.wikipedia.org/wiki/Warsaw_Modlin_Airport,WMI,EPMO,"3,126,428","22,383",(2022)
65,Q2066541,Radom-Sadków Airport,EPRA,RDO,201601,21.213611111111,51.389166666667,186,2000,0,9903,https://www.ulc.gov.pl/_download/regulacja_rynku/statystyki/2019/wg_portow_lotniczych_4kw2019.pdf,https://en.wikipedia.org/wiki/Warsaw_Radom_Airport,RDO,EPRA,9,,(2016)
66,Q1107152,Wrocław – Copernicus Airport,EPWR,WRO,672929,16.885833333333,51.102777777778,123,,3548016,3548016,,https://en.wikipedia.org/wiki/Copernicus_Airport_Wroc%C5%82aw,WRO,EPWR,"3,347,223","17,2",(2018)
67,Q1433282,Zielona Góra Airport,EPZG,IEG,140002,15.798611111111,52.138611111111,59,2500,33078,33078,https://www.ulc.gov.pl/_download/regulacja_rynku/statystyki/2019/wg_portow_lotniczych_4kw2019.pdf,https://en.wikipedia.org/wiki/Zielona_G%C3%B3ra_Airport,IEG,EPZG,"20,596",516,(2021)
68,Q828379,M. R. Štefánik Airport,LZIB,BTS,475503,17.212777777778,48.17,132.8930616,2950,2290242,2292712,https://www.bts.aero/o-letisku/press/tlacove-spravy/letisko-v-bratislave-vybavilo-vlani-2-29-miliona-cestujucich/,https://en.wikipedia.org/wiki/Bratislava_Airport,BTS,LZIB,"1,406,284",24,(2022)
69,Q777774,Košice International Airport,LZKZ,KSC,229040,21.241111111111,48.663055555556,230.124453,,555325,590919,https://www.viennaairport.com/unternehmen/presse__news/presseaussendungen__news_2?news_beitrag_id=1578990620436,https://en.wikipedia.org/wiki/Ko%C5%A1ice_International_Airport,KSC[1],LZKZ[1],"539,749","4,398",(2022)
70,Q1432421,Poprad-Tatry Airport,LZTT,TAT,49855,20.241111111111,49.073611111111,718,,88387,88542,,https://en.wikipedia.org/wiki/Poprad%E2%80%93Tatry_Airport,TAT,LZTT,,,
71,Q1432898,Sliač Airport,LZSL,SLD,4980,19.134166666667,48.638055555556,305,,,41866,https://ec.europa.eu/eurostat/web/products-datasets/-/avia_tf_apal,https://en.wikipedia.org/wiki/Slia%C4%8D_Airport,SLD,LZSL,,,
72,Q1109558,Ljubljana Jože Pučnik Airport,LJLJ,LJU,284293,14.456111111111,46.224444444444,388,3300,1721355,1812411,https://www.fraport.com/content/dam/fraport-company/documents/investoren/eng/finanz--und-verkehrszahlen/verkehrszahlen/group/2019/fraport-group-traffic-figures-12_2019.xlsx/_jcr_content/renditions/original.media_file.download_attachment.file/fraport-group-traffic-figures-12_2019.xlsx,https://en.wikipedia.org/wiki/Ljubljana_Jo%C5%BEe_Pu%C4%8Dnik_Airport,LJU,LJLJ,"970,152","21,571",(2022)
