,destination
0,https://en.wikipedia.org/wiki/Dabo_Airport
1,https://en.wikipedia.org/wiki/Caldas_Novas_Airport
2,https://en.wikipedia.org/wiki/Prince_Abdul_Majeed_bin_Abdulaziz_International_Airport
3,https://en.wikipedia.org/wiki/Ramechhap_Airport
4,https://en.wikipedia.org/wiki/Orcas_Island_Airport
5,https://en.wikipedia.org/wiki/Codrington_Airport
6,https://en.wikipedia.org/wiki/Kuk%C3%ABs_International_Airport
7,https://en.wikipedia.org/wiki/Deoghar_Airport
8,https://en.wikipedia.org/wiki/Santa_Maria_Airport_(Rio_Grande_do_Sul)
9,https://en.wikipedia.org/wiki/Robert_Atty_Bessing_Airport
10,https://en.wikipedia.org/wiki/Port-Menier_Airport
11,https://en.wikipedia.org/wiki/Iranshahr_Airport
12,https://en.wikipedia.org/wiki/Postville_Airport
13,https://en.wikipedia.org/wiki/Caye_Chapel_Airport
14,https://en.wikipedia.org/wiki/Rocky_Mountain_Metropolitan_Airport
15,https://en.wikipedia.org/wiki/Jaguaruna_Regional_Airport
16,https://en.wikipedia.org/wiki/Ruben_Berta_International_Airport
17,https://en.wikipedia.org/wiki/Anambra_International_Cargo_Airport
18,https://en.wikipedia.org/wiki/Una-Comandatuba_Airport
19,https://en.wikipedia.org/wiki/Caraj%C3%A1s_Airport
20,https://en.wikipedia.org/wiki/Ilam_Airport
21,https://en.wikipedia.org/wiki/Reconquista_Airport
22,https://en.wikipedia.org/wiki/Saadani_National_Park
23,https://en.wikipedia.org/wiki/Pelotas_International_Airport
24,https://en.wikipedia.org/wiki/Kirkuk_Airport
25,https://en.wikipedia.org/wiki/Anuradhapura_Airport
26,https://en.wikipedia.org/wiki/Portsmouth_International_Airport_at_Pease
27,https://en.wikipedia.org/wiki/Akure_Airport
28,https://en.wikipedia.org/wiki/Chu_Lai_International_Airport
29,https://en.wikipedia.org/wiki/Sabetta_International_Airport
30,https://en.wikipedia.org/wiki/Destin_Executive_Airport
31,https://en.wikipedia.org/wiki/Hamadan_International_Airport
32,https://en.wikipedia.org/wiki/Sinop_Airport_(Brazil)
33,https://en.wikipedia.org/wiki/Teixeira_de_Freitas_Airport
34,https://en.wikipedia.org/wiki/Nanaimo_Harbour_Water_Aerodrome
35,https://en.wikipedia.org/wiki/Sasereme_Airport
36,https://en.wikipedia.org/wiki/Bonaventure_Airport
37,https://en.wikipedia.org/wiki/Natuashish_Airport
38,https://en.wikipedia.org/wiki/Great_Barrier_Aerodrome
39,https://en.wikipedia.org/wiki/Shahrekord_Shahid_Estaki_International_Airport
40,https://en.wikipedia.org/wiki/Arctic_Bay_Airport
41,https://en.wikipedia.org/wiki/Taos_Regional_Airport
42,https://en.wikipedia.org/wiki/M%C3%A9cheria_Airport
43,https://en.wikipedia.org/wiki/St._Mary%27s_Airport_(Alaska)
44,https://en.wikipedia.org/wiki/Bella_Bella_(Campbell_Island)_Airport
45,https://en.wikipedia.org/wiki/Graeme_Rowley_Aerodrome
46,https://en.wikipedia.org/wiki/Aracati_Airport
47,https://en.wikipedia.org/wiki/Talcha_Airport
48,https://en.wikipedia.org/wiki/Nusatupe_Airport
49,https://en.wikipedia.org/wiki/Swami_Vivekananda_International_Airport
50,https://en.wikipedia.org/wiki/Quepos_La_Managua_Airport
51,https://en.wikipedia.org/wiki/Tasiujaq_Airport
52,https://en.wikipedia.org/wiki/Batticaloa_International_Airport
53,https://en.wikipedia.org/wiki/Barbuda_Codrington_Airport
54,https://en.wikipedia.org/wiki/Itanagar_Airport
55,https://en.wikipedia.org/wiki/Barreiras_Airport
56,https://en.wikipedia.org/wiki/Jundia%C3%AD_Airport
57,https://en.wikipedia.org/wiki/Alcantari_Airport
58,https://en.wikipedia.org/wiki/Kandahar_International_Airport
59,https://en.wikipedia.org/wiki/Van_Don_International_Airport
60,https://en.wikipedia.org/wiki/China_Bay_Airport
61,https://en.wikipedia.org/wiki/Pongtiku_Airport
