,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
0,Q12474045,Dabo Singkep Airport,WIDS,SIQ,,104.579,-0.4788,17,,,,,https://en.wikipedia.org/wiki/Dabo_Airport,SIQ,WIDS,10486,1205,(2016)
1,Q3813543,Caldas Novas Airport,SBCN,CLV,95183,-48.61,-17.724722222222,685,2100,136214,149480,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Caldas_Novas_Airport,CLV,SBCN,,,
2,Q4120431,Prince Abdul Majeed bin Abdul Aziz Domestic Airport,OEAO,ULH,32413,38.11694444,26.48333333,624,,61138,78337,https://gaca.gov.sa/web/ar-sa/media/airnav2019,https://en.wikipedia.org/wiki/Prince_Abdul_Majeed_bin_Abdulaziz_International_Airport,ULH,OEAO,,,
3,Q8214364,Ramechhap Airport,VNRC,RHP,5222,86.061388888889,27.393888888889,474,,,,,https://en.wikipedia.org/wiki/Ramechhap_Airport,RHP,VNRC,,,
4,Q934833,Orcas Island Airport,KORS,ESD,,-122.911,48.7081,9.4488186,884.2248,18410,20202,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,https://en.wikipedia.org/wiki/Orcas_Island_Airport,ESD,KORS,,"41,800",
5,Q924102,Codrington Airport,TAPH,BBQ,1252,-61.826944444444,17.635833333333,4.572009,,,,,https://en.wikipedia.org/wiki/Barbuda_Codrington_Airport,BBQ,TAPH,,,
6,Q1431804,Kukës International Airport Zayed,LAKU,KFZ,16719,20.41585833,42.03609722,341,,,4742,https://tirana-airport.com/media/62135011343ee.pdf,https://en.wikipedia.org/wiki/Kuk%C3%ABs_International_Airport_Zayed,KFZ[1],LAKU[1],,,
7,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Deoghar_Airport,DGH[1],VEDO[2],,,
8,Q7419674,Santa Maria Airport,SBSM,RIA,285159,-53.69222222,-29.71083333,88,2700,33687,59183,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Santa_Maria_Airport_(Rio_Grande_do_Sul),RIA,SBSM,,,
9,Q3544683,Robert Atty Bessing Airport,WRLM,LNU,,116.61972222222,3.5752777777778,4,,,,,https://en.wikipedia.org/wiki/Robert_Atty_Bessing_Airport,LNU,WAQM,,,
10,Q3914817,Port-Menier Airport,CYPN,YPN,,-64.288611111111,49.836388888889,50.9017002,,,11822,https://www150.statcan.gc.ca/n1/tbl/csv/23100253-eng.zip,https://en.wikipedia.org/wiki/Port-Menier_Airport,YPN,CYPN,,"2,089",(2010)
11,Q1567208,Iranshahr Airport,OIZI,IHR,113750,60.7204,27.2345,622,,,,,https://en.wikipedia.org/wiki/Iranshahr_Airport,IHR,OIZI,"5,116",298,(۱۳۹۳
12,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Postville_Airport,YSO,,,,
13,Q1961307,Caye Chapel Airport,MZCP,CYC,,-88.041111111111,17.700833333333,2,,,,,https://en.wikipedia.org/wiki/Caye_Chapel_Airport,CYC,MZCP,,,
14,Q4992240,Rocky Mountain Metropolitan Airport,KBJC,BJC,715522,-105.11722222222,39.908888888889,1729,2743.2,960,2088,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,https://en.wikipedia.org/wiki/Rocky_Mountain_Metropolitan_Airport,BJC,KBJC,,"262,348",(2022)
15,Q9586075,Jaguaruna Regional Airport,SBJA,JJG,20547,-49.06028,-28.67528,35,2499,131589,143407,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Jaguaruna_Regional_Airport,JJG,SBJA,,,
16,Q2744827,Ruben Berta International Airport,SBUG,URG,126766,-57.03694,-29.78333,78,1500,20936,33051,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Ruben_Berta_International_Airport,URG,SBUG,"17,947",616,(2021)
17,Q111915271,Anambra International Cargo Airport,DNAN,ANA,,6.8810127129995,6.2651956052068,,,,,,https://en.wikipedia.org/wiki/Anambra_International_Cargo_Airport,ANA,DNAN,"11,860",376,"(january,"
18,Q6588692,Una-Comandatuba Airport,SBTC,UNA,18108,-38.997222222222,-15.353333333333,7,2000,12304,43993,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Una-Comandatuba_Airport,UNA,SBTC,,,
19,Q3536490,Carajás Airport,SBCJ,CKS,218787,-50.00139,-6.11528,629,2000,138519,205054,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Caraj%C3%A1s_Airport,CKS,SBCJ,"146,079","5,663",(2022)
20,Q3434138,Ilam Airport,OICI,IIL,194030,46.404841666667,33.586605555556,1342,,,,,https://en.wikipedia.org/wiki/Ilam_Airport,IIL,OICI,,,
21,Q967360,Reconquista Airport,SATR,RCQ,73293,-59.68,-29.21027778,49,,,9372,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Reconquista_Airport,RCQ,SATR,,,
22,Q2395917,Pelotas International Airport,SBPK,PET,325689,-52.331111111111,-31.716111111111,18,1980,31770,62995,https://www.anac.gov.br/assuntos/dados-e-estatisticas/dados-estatisticos/arquivos/resumo_anual_2019.csv,https://en.wikipedia.org/wiki/Pelotas_International_Airport,PET,SBPK,"25,848","1,314",(2021)
23,Q6415856,Kirkuk international Airport,ORKK,KIK,975000,44.354762,35.46944444,323,,,,,https://en.wikipedia.org/wiki/Kirkuk_International_Airport,KIK,ORKK,,,
24,Q3504937,SLAF Anuradhapura,VCCA,ACJ,,80.428333333333,8.3013888888889,99,,,,,https://en.wikipedia.org/wiki/Anuradhapura_Airport,ACJ,VCCA,,,
25,Q6587102,Portsmouth International Airport at Pease,KPSM,PSM,21956,-70.823333333333,43.078055555556,30,3450.6408,233806,233806,https://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/media/cy19-all-enplanements.xlsx,https://en.wikipedia.org/wiki/Portsmouth_International_Airport_at_Pease,PSM,KPSM,,"42,282",(2019)
