,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
0,Q3661908,Istanbul Airport,LTFM,IST,15462452,28.742222222222,41.260833333333,99,4100,52009220,64486178,https://www.dhmi.gov.tr/Lists/Istatislikler/Attachments/187/YOLCU.pdf,https://en.wikipedia.org/wiki/Istanbul_Airport,IST,LTFM[1],"48,591,863","425,897",(2022)
1,Q1371636,Kunming Changshui International Airport,ZPPP,KMG,8460000,102.92916667,25.10194444,2103,,48075978,48075978,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202104/P020210409601938094774.xls,https://en.wikipedia.org/wiki/Kunming_Changshui_International_Airport,KMG,ZPPP,"32,221,195","279,471",(2021)
2,Q11074678,Chengdu Tianfu International Airport,ZUTF,TFU,20937757,104.445,30.319,440,,,13275946,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx,https://en.wikipedia.org/wiki/Chengdu_Tianfu_International_Airport,TFU,ZUTF,"4,354,758","37,103",(2021)
3,Q15672491,Qingdao Jiaodong International Airport,ZSQD,TAO,10071722,120.059,36.3483,,,,16031973,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202303/P020230317397015127619.xlsx,https://en.wikipedia.org/wiki/Qingdao_Jiaodong_International_Airport,TAO,ZSQD,,,
4,Q3270994,Yinchuan Hedong International Airport,ZLIC,INC,2859074,106.3925,38.321666666667,497,,10575393,10575393,http://www.caac.gov.cn/XXGK/XXGK/TJSJ/202104/P020210409601938094774.xls,https://en.wikipedia.org/wiki/Yinchuan_Hedong_International_Airport,INC,ZLIC,"6,998,424","64,311",(2021)
5,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Wikipedia:Citation_needed,,,,,
6,Q6587733,Yantai Penglai International Airport,ZSYT,YNT,7102116,120.97857,37.66009,,,10052929,10052929,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD%E6%9C%BA%E5%9C%BA%E8%BF%90%E8%90%A5%E7%BB%9F%E8%AE%A1%E5%88%97%E8%A1%A8#2019%E5%B9%B4,https://en.wikipedia.org/wiki/Yantai_Penglai_International_Airport,YNT,ZSYT,"5,955,936","61,855",(2021)
7,Q999047,Aeroparque Jorge Newbery,SABE,AEP,3120612,-58.41638889,-34.55888889,5.6,2100,,13797710,https://www.eana.com.ar/estadisticas#estadisticas-header,https://en.wikipedia.org/wiki/Aeroparque_Jorge_Newbery,AEP,SABE,"4,518,000",,(2021)
8,Q3499545,Al Najaf International Airport,ORNI,NJF,724700,44.404316666667,31.989852777778,31.3944618,3000,2579355,2579355,https://shafaq.com/en/economy/nearly-9-million-passengers-transported-through-iraqi-airports-in-a-year-including-kurdistan,https://en.wikipedia.org/wiki/Al_Najaf_International_Airport,NJF,ORNI,,,
9,Q613569,Dallas Love Field,KDAL,DAL,7637387,-96.851666666667,32.847222222222,148,2682.24,16780158,16780158,https://en.wikipedia.org/wiki/List_of_the_busiest_airports_in_the_United_States#Busiest_US_airports_by_total_passenger_traffic_(2019),https://en.wikipedia.org/wiki/Dallas_Love_Field,DAL,KDAL,"15,685,850","226,591",(2022)
10,Q597308,Blaise Diagne International Airport,GOBD,DSS,1438725,-17.068888888889,14.670833333333,89,,2491185,2491185,"https://www.agenceecofin.com/transports/1601-72864-en-2019-l-aeroport-international-de-dakar-a-traite-pres-de-2-5-millions-de-passagers-et-vise-3-millions-cette-annee#:~:text=Transports-,En%202019%2C%20l%27a%C3%A9roport%20international%20de%20Dakar%20a%20trait%C3%A9%20pr%C3%A8s,vise%203%20millions%20cette%20ann%C3%A9e&text=(Agence%20Ecofin)%20%2D%20L%27,connu%20une%20bonne%20ann%C3%A9e%202019.&text=On%20retient%20que%20la%20plateforme,cours%20de%20l%27ann%C3%A9e%20achev%C3%A9e.",https://en.wikipedia.org/wiki/Blaise_Diagne_International_Airport,DSS,GOBD,,,
11,Q1190316,Islamabad International Airport,OPIS,ISB,1014825,72.851613888889,33.560713888889,579,,,,,https://en.wikipedia.org/wiki/Islamabad_International_Airport,ISB,OPIS,"5,140,585",,(2018-2019)
12,Q56705156,Zhanjiang Wuchuan Airport,ZGZJ,ZHA,,110.58786,21.480319,,,,,,https://en.wikipedia.org/wiki/Zhanjiang_Wuchuan_Airport,ZHA,ZGZJ,,,
13,Q16534881,Platov International Airport,URRP,ROV,1137704,39.92397222,47.47155556,70,,3060000,3236000,,https://en.wikipedia.org/wiki/Platov_International_Airport,ROV,URRP,"2,086,000",,(2020)
