,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
0,Q1797758,L.F. Wade International Airport,TXKF,BDA,65024,-64.678611111111,32.364166666667,5,,,914457,https://web.archive.org/web/20171006172723/http://www.aci-na.org/sites/default/files/2000-rankings.xls,https://en.wikipedia.org/wiki/L.F._Wade_International_Airport,BDA,TXKF,,,
1,Q1160343,Calgary International Airport,CYYC,YYC,1306784,-114.020278,51.113889,1084.1757342,4267,17957780,17957780,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=2310025301,https://en.wikipedia.org/wiki/Calgary_International_Airport,YYC,CYYC,"6,326,406","124,108",(2021)
2,Q3270356,Edmonton City Centre Airport,CYXD,YXD,1010899,-113.519,53.5719,671.1709212,1789.176,,7902,https://open.canada.ca/data/en/dataset/85e12734-7705-48de-adb9-ee27bbfd1672,https://en.wikipedia.org/wiki/Edmonton_City_Centre_Airport,YXD,CYXD,,"55,863",(2012)
3,Q269588,Edmonton International Airport,CYEG,YEG,1321426,-113.57944444444,53.31,723.2918238,3351.276,7892679,8406040,https://www150.statcan.gc.ca/n1/tbl/csv/23100253-eng.zip,https://en.wikipedia.org/wiki/Edmonton_International_Airport,YEG,CYEG,"5,849,674","97,496",(2022)
4,Q3914677,Fort Chipewyan Airport,CYPY,YPY,,-111.118,58.7675,231.9532566,,,9788,https://open.canada.ca/data/en/dataset/85e12734-7705-48de-adb9-ee27bbfd1672,https://en.wikipedia.org/wiki/Fort_Chipewyan_Airport,YPY,CYPY,,,
5,Q670072,Fort McMurray International Airport,CYMM,YMM,72326,-111.223,56.6533,369.1135266,,601561,1308416,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=2310025301,https://en.wikipedia.org/wiki/Fort_McMurray_International_Airport,YMM,CYMM,"229,314","32,016",(2020)
6,Q3914736,Grande Prairie Airport,CYQU,YQU,,-118.885,55.18,669.3421176,,,405191,https://open.canada.ca/data/en/dataset/85e12734-7705-48de-adb9-ee27bbfd1672,https://en.wikipedia.org/wiki/Grande_Prairie_Airport,YQU,CYQU,,"40,651",(2010)
7,Q1431477,High Level Airport,CYOJ,YOJ,,-117.165,58.6217,338.0238654,,,,,https://en.wikipedia.org/wiki/High_Level_Airport,YOJ,CYOJ,,"13,279",(2010)
8,Q3502467,Lethbridge Airport,CYQL,YQL,98406,-112.8,49.6303,929.3370294,,105568,105568,https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=2310025301,https://en.wikipedia.org/wiki/Lethbridge_Airport,YQL,CYQL,,,(2019)
9,Q1431897,Lloydminster Airport,CYLL,YLL,19739,-110.07277777778,53.309166666667,668.7325164,,,,,https://en.wikipedia.org/wiki/Lloydminster_Airport,YLL,CYLL,,"14,680",(2012)
