,QID,itemLabel,icao,iata,max_population,lon,lat,alt_in_m,max_rwy_lenght_m,max_passengers19,maxpax,traffic_source_url,wdpa_link,wpda_iata,wpda_icao,wpda_passengers,wpda_movements,wpda_year_data
0,Q14300,Canberra International Airport,YSCB,CBR,381488,149.195,-35.306944444444,575.4635328,3283,3238112,3304010,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Canberra_Airport,CBR,YSCB,,"40,050",(2018/19)
1,Q17440,Albury Airport,YMAY,ABX,4955,146.96027777778,-36.066666666667,164,,252501,291799,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Albury_Airport,ABX,YMAY,"107,934","36,376",(fy
2,Q17441,Armidale Airport,YARM,ARM,28967,151.6177778,-30.531666666667,1084,,132521,132521,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Armidale_Airport,ARM,YARM,"107,470","3,141",(fy
3,Q17443,Ballina Byron Gateway Airport,YBNA,BNK,8655,153.56166666667,-28.833333333333,2,,533279,538180,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Ballina_Byron_Gateway_Airport,BNK,YBNA,"291,322","3,784",(fy
4,Q2264901,Bathurst Airport,YBTH,BHS,35020,149.6547222,-33.413611111111,733,,19809,26999,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Bathurst_Airport_(New_South_Wales),BHS,YBTH,"26,815","1,976",(fy
5,Q17526,Bourke Airport,YBKE,BRK,1909,145.95166666667,-30.038333333333,108,,,,,https://en.wikipedia.org/wiki/Bourke_Airport,BRK,YBKE,,,
6,Q17528,Broken Hill Airport,YBHI,BHQ,17706,141.4677778,-32.006666666667,292,,60962,70078,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Broken_Hill_Airport,BHQ,YBHI,"63,098","2,846",(2010-11[1])
7,Q17531,Cobar Airport,YCBA,CAZ,3990,145.79333333333,-31.538333333333,218,,,,,https://en.wikipedia.org/wiki/Cobar_Airport,CAZ,YCBA,,,
8,Q17532,Coffs Harbour Airport,YCFS,CFS,27089,153.11666666667,-30.32,5,,395471,415768,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Coffs_Harbour_Airport,CFS,YCFS,"178,514","17,662",(2021-22)
9,Q17536,Coonamble Airport,YCNM,CNB,,148.375,-30.983333333333,182,,,,,https://en.wikipedia.org/wiki/Coonamble_Airport,CNB,YCNM,,,
10,Q17542,Dubbo City Regional Airport,YSDU,DBO,43516,148.57472222222,-32.216666666667,284.988561,1708,198461,224623,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Dubbo_City_Regional_Airport,DBO,YSDU,"176,821","6,899",(2010–11[1])
11,Q17547,Griffith Airport,YGTH,GFF,27086,146.0677778,-34.248333333333,131,,76715,76715,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Griffith_Airport,GFF,YGTH,,,
12,Q17553,Lightning Ridge Airport,YLRD,LHG,,147.985,-29.456666666667,161,,,,,https://en.wikipedia.org/wiki/Lightning_Ridge_Airport,LHG,YLRD,,,
13,Q17555,Lismore Airport,YLIS,LSY,3656,153.26,-28.828055555556,5,,12074,69204,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Lismore_Airport,LSY,YLIS,,,
14,Q17559,Lord Howe Island Airport,YLHI,LDH,445,159.07722222222,-31.538333333333,3,,33480,35472,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Lord_Howe_Island_Airport,LDH,YLHI,,,
15,Q17560,Merimbula Airport,YMER,MIM,3821,149.90138888889,-36.908611111111,2,,60276,66086,https://data.gov.au/data/dataset/cc5d888f-5850-47f3-815d-08289b22f5a8/resource/f0fbdc3d-1a82-4671-956f-7fee3bf9d7f2/download/yed_pax_web.csv,https://en.wikipedia.org/wiki/Merimbula_Airport,MIM,YMER,,,
