,region,product,year,flow,volume,iea_code,Country,ISO3,OECD,CONTI,UE 28,level,UN_region,OECD_Region,volume_numeric,CO2e estimation
3044446,ALBANIA,NONBIOJETK,2019,AVBUNK,-21.000,ALBANIA,Albania,ALB,NONOECD,EUROPE,NO,country,UNEUROPE,EURASIA,21.0,66.36
3184856,ALGERIA,NONBIOJETK,2019,AVBUNK,-446.691,ALGERIA,Algeria,DZA,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,446.691,1411.54356
3184862,ALGERIA,NONBIOJETK,2019,DOMESAIR,94.309,ALGERIA,Algeria,DZA,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,94.309,298.01644
3322638,ANGOLA,NONBIOJETK,2019,AVBUNK,-291.583,ANGOLA,Angola,AGO,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,291.583,921.4022800000001
3322643,ANGOLA,NONBIOJETK,2019,DOMESAIR,5.027,ANGOLA,Angola,AGO,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,5.027,15.885320000000002
3463865,ARGENTINA,NONBIOJETK,2019,AVBUNK,-1108.739,ARGENTINA,Argentina,ARG,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,1108.739,3503.61524
3463873,ARGENTINA,NONBIOJETK,2019,DOMESAIR,596.978,ARGENTINA,Argentina,ARG,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,596.978,1886.45048
3685796,ARMENIA,NONBIOJETK,2019,AVBUNK,-68.770,ARMENIA,Armenia,ARM,NONOECD,EUROPE,NO,country,UNASIA,EURASIA,68.77,217.3132
3842840,AUSTRALI,NONBIOJETK,2019,AVBUNK,-4749.603,AUSTRALI,Australia,AUS,OECD,ASIAPAC,NO,country,UNOCEANIA,OECDAO,4749.603,15008.745480000001
3842846,AUSTRALI,NONBIOJETK,2019,DOMESAIR,2732.732,AUSTRALI,Australia,AUS,OECD,ASIAPAC,NO,country,UNOCEANIA,OECDAO,2732.732,8635.43312
3934102,AUSTRIA,NONBIOJETK,2019,AVBUNK,-923.072,AUSTRIA,Austria,AUT,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,923.072,2916.90752
3934107,AUSTRIA,NONBIOJETK,2019,DOMESAIR,27.873,AUSTRIA,Austria,AUT,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,27.873,88.07868
4134758,AZERBAIJAN,NONBIOJETK,2019,AVBUNK,-313.000,AZERBAIJAN,Azerbaijan,AZE,NONOECD,EUROPE,NO,country,UNASIA,EURASIA,313.0,989.08
4134763,AZERBAIJAN,NONBIOJETK,2019,DOMESAIR,300.200,AZERBAIJAN,Azerbaijan,AZE,NONOECD,EUROPE,NO,country,UNASIA,EURASIA,300.2,948.6320000000001
4324528,BAHRAIN,NONBIOJETK,2019,AVBUNK,-494.730,BAHRAIN,Bahrain,BHR,NONOECD,MIDDLE EAST,NO,country,UNASIA,MIDEAST,494.73,1563.3468
4324534,BAHRAIN,NONBIOJETK,2019,DOMESAIR,31.870,BAHRAIN,Bahrain,BHR,NONOECD,MIDDLE EAST,NO,country,UNASIA,MIDEAST,31.87,100.70920000000001
4461337,BANGLADESH,NONBIOJETK,2019,AVBUNK,-430.341,BANGLADESH,Bangladesh ,BGD,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,430.341,1359.8775600000001
4686794,BELARUS,NONBIOJETK,2019,AVBUNK,-186.000,BELARUS,Belarus,BLR,NONOECD,EUROPE,NO,country,UNEUROPE,EURASIA,186.0,587.76
4686799,BELARUS,NONBIOJETK,2019,DOMESAIR,15.000,BELARUS,Belarus,BLR,NONOECD,EUROPE,NO,country,UNEUROPE,EURASIA,15.0,47.400000000000006
4847399,BELGIUM,NONBIOJETK,2019,AVBUNK,-1659.500,BELGIUM,Belgium,BEL,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,1659.5,5244.02
4847406,BELGIUM,NONBIOJETK,2019,DOMESAIR,1.800,BELGIUM,Belgium,BEL,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,1.8,5.688000000000001
4962820,BENIN,NONBIOJETK,2019,AVBUNK,-21.310,BENIN,Benin,BEN,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,21.31,67.3396
5099188,BOLIVIA,NONBIOJETK,2019,AVBUNK,-71.874,BOLIVIA,Bolivia,BOL,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,71.874,227.12184
5099195,BOLIVIA,NONBIOJETK,2019,DOMESAIR,94.813,BOLIVIA,Bolivia,BOL,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,94.813,299.60908
5320219,BOSNIAHERZ,NONBIOJETK,2019,AVBUNK,-9.029,BOSNIAHERZ,Bosnia and Herzegovinia,BIH,NONOECD,EUROPE,NO,country,UNEUROPE,EURASIA,9.029,28.53164
5507433,BOTSWANA,NONBIOJETK,2019,AVBUNK,-12.230,BOTSWANA,Botswana,BWA,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,12.23,38.646800000000006
5653081,BRAZIL,NONBIOJETK,2019,AVBUNK,-2329.794,BRAZIL,Brazil,BRA,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,2329.794,7362.14904
5653087,BRAZIL,NONBIOJETK,2019,DOMESAIR,3187.444,BRAZIL,Brazil,BRA,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,3187.444,10072.323040000001
5794053,BRUNEI,NONBIOJETK,2019,AVBUNK,-108.135,BRUNEI,Brunei,BRN,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,108.135,341.70660000000004
5938793,BULGARIA,NONBIOJETK,2019,AVBUNK,-236.091,BULGARIA,Bulgaria,BGR,NONOECD,EUROPE,YES,country,UNEUROPE,EURASIA,236.091,746.0475600000001
5938801,BULGARIA,NONBIOJETK,2019,DOMESAIR,10.789,BULGARIA,Bulgaria,BGR,NONOECD,EUROPE,YES,country,UNEUROPE,EURASIA,10.789,34.09324
6185573,CAMBODIA,NONBIOJETK,2019,AVBUNK,-169.482,CAMBODIA,Cambodia,KHM,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,169.482,535.56312
6185577,CAMBODIA,NONBIOJETK,2019,DOMESAIR,75.056,CAMBODIA,Cambodia,KHM,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,75.056,237.17696
6385172,CAMEROON,NONBIOJETK,2019,AVBUNK,-17.391,CAMEROON,Cameroon,CMR,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,17.391,54.95556
6385176,CAMEROON,NONBIOJETK,2019,DOMESAIR,1.506,CAMEROON,Cameroon,CMR,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,1.506,4.75896
6491442,CANADA,NONBIOJETK,2019,AVBUNK,-806.000,CANADA,Canada,CAN,OECD,AMERICA,NO,country,UNAMERICAS,OECDAM,806.0,2546.96
6491449,CANADA,NONBIOJETK,2019,DOMESAIR,6460.000,CANADA,Canada,CAN,OECD,AMERICA,NO,country,UNAMERICAS,OECDAM,6460.0,20413.600000000002
6614408,CHILE,NONBIOJETK,2019,AVBUNK,-721.355,CHILE,Chile,CHL,OECD,AMERICA,NO,country,UNAMERICAS,OECDAM,721.355,2279.4818
6614418,CHILE,NONBIOJETK,2019,DOMESAIR,579.190,CHILE,Chile,CHL,OECD,AMERICA,NO,country,UNAMERICAS,OECDAM,579.19,1830.2404000000004
6775140,CHINA,NONBIOJETK,2019,AVBUNK,-10416.100,CHINA,China,CHN,NONOECD,ASIAPAC,NO,country,UNASIA,CHINAREG,10416.1,32914.876000000004
6775144,CHINA,NONBIOJETK,2019,DOMESAIR,26476.000,CHINA,China,CHN,NONOECD,ASIAPAC,NO,country,UNASIA,CHINAREG,26476.0,83664.16
6925819,COLOMBIA,NONBIOJETK,2019,AVBUNK,-1325.772,COLOMBIA,Colombia,COL,OECD,AMERICA,NO,country,UNAMERICAS,OECDAM,1325.772,4189.43952
7064904,CONGO,NONBIOJETK,2019,AVBUNK,-31.815,CONGO,Congo,COG,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,31.815,100.53540000000001
7064909,CONGO,NONBIOJETK,2019,DOMESAIR,13.635,CONGO,Congo,COG,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,13.635,43.086600000000004
7200625,CONGOREP,NONBIOJETK,2019,AVBUNK,-120.709,CONGOREP,Democratic Rep. Of Congo,COD,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,120.709,381.44044
7337223,COSTARICA,NONBIOJETK,2019,AVBUNK,-219.806,COSTARICA,Costa Rica,CRI,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,219.806,694.5869600000001
7337230,COSTARICA,NONBIOJETK,2019,DOMESAIR,3.810,COSTARICA,Costa Rica,CRI,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,3.81,12.0396
7475242,COTEIVOIRE,NONBIOJETK,2019,AVBUNK,-171.896,COTEIVOIRE,Cote d'Ivoire,CIV,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,171.896,543.19136
7475247,COTEIVOIRE,NONBIOJETK,2019,DOMESAIR,8.223,COTEIVOIRE,Cote d'Ivoire,CIV,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,8.223,25.984680000000004
7700142,CROATIA,NONBIOJETK,2019,AVBUNK,-190.000,CROATIA,Croatia,HRV,NONOECD,EUROPE,YES,country,UNEUROPE,EURASIA,190.0,600.4
7700147,CROATIA,NONBIOJETK,2019,DOMESAIR,9.800,CROATIA,Croatia,HRV,NONOECD,EUROPE,YES,country,UNEUROPE,EURASIA,9.8,30.968000000000004
7894267,CUBA,NONBIOJETK,2019,AVBUNK,-33.494,CUBA,Cuba,CUB,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,33.494,105.84104
8031366,CURACAO,NONBIOJETK,2019,AVBUNK,-57.723,CURACAO,Curaçao,CUW,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,57.723,182.40468
8167881,CYPRUS,NONBIOJETK,2019,AVBUNK,-294.502,CYPRUS,Cyprus,CYP,NONOECD,EUROPE,YES,country,UNEUROPE,EURASIA,294.502,930.6263200000001
8167887,CYPRUS,NONBIOJETK,2019,DOMESAIR,2.013,CYPRUS,Cyprus,CYP,NONOECD,EUROPE,YES,country,UNEUROPE,EURASIA,2.013,6.36108
8319683,CZECH,NONBIOJETK,2019,AVBUNK,-405.000,CZECH,Czech Republic,CZE,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,405.0,1279.8
8319688,CZECH,NONBIOJETK,2019,DOMESAIR,43.000,CZECH,Czech Republic,CZE,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,43.0,135.88
8430209,DENMARK,NONBIOJETK,2019,AVBUNK,-1006.281,DENMARK,Denmark,DNK,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,1006.281,3179.84796
8430215,DENMARK,NONBIOJETK,2019,DOMESAIR,29.657,DENMARK,Denmark,DNK,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,29.657,93.71612
8547287,DOMINICANR,NONBIOJETK,2019,AVBUNK,-456.724,DOMINICANR,Dominican Republic,DOM,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,456.724,1443.24784
8547293,DOMINICANR,NONBIOJETK,2019,DOMESAIR,45.770,DOMINICANR,Dominican Republic,DOM,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,45.77,144.63320000000002
8685295,ECUADOR,NONBIOJETK,2019,AVBUNK,-264.534,ECUADOR,Ecuador,ECU,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,264.534,835.92744
8685301,ECUADOR,NONBIOJETK,2019,DOMESAIR,87.227,ECUADOR,Ecuador,ECU,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,87.227,275.63732000000005
8825918,EGYPT,NONBIOJETK,2019,AVBUNK,-786.882,EGYPT,Egypt,EGY,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,786.882,2486.5471199999997
8825923,EGYPT,NONBIOJETK,2019,DOMESAIR,643.125,EGYPT,Egypt,EGY,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,643.125,2032.275
8963447,ELSALVADOR,NONBIOJETK,2019,AVBUNK,-181.413,ELSALVADOR,El Salvador,SLV,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,181.413,573.26508
9099666,EQGUINEA,NONBIOJETK,2019,AVBUNK,-37.569,EQGUINEA,Equatorial Guinea,GNQ,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,37.569,118.71804000000002
9099670,EQGUINEA,NONBIOJETK,2019,DOMESAIR,7.373,EQGUINEA,Equatorial Guinea,GNQ,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,7.373,23.29868
9326458,ERITREA,NONBIOJETK,2019,AVBUNK,-8.903,ERITREA,Eritrea,ERI,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,8.903,28.133480000000002
9326462,ERITREA,NONBIOJETK,2019,DOMESAIR,2.622,ERITREA,Eritrea,ERI,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,2.622,8.28552
9606433,ESTONIA,NONBIOJETK,2019,AVBUNK,-66.677,ESTONIA,Estonia,EST,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,66.677,210.69932000000003
9606437,ESTONIA,NONBIOJETK,2019,DOMESAIR,1.257,ESTONIA,Estonia,EST,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,1.257,3.97212
9795103,ETHIOPIA,NONBIOJETK,2019,AVBUNK,-730.394,ETHIOPIA,Ethiopia,ETH,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,730.394,2308.04504
9795107,ETHIOPIA,NONBIOJETK,2019,DOMESAIR,8.848,ETHIOPIA,Ethiopia,ETH,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,8.848,27.959680000000002
9902449,FINLAND,NONBIOJETK,2019,AVBUNK,-812.000,FINLAND,Finland,FIN,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,812.0,2565.92
9902455,FINLAND,NONBIOJETK,2019,DOMESAIR,64.000,FINLAND,Finland,FIN,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,64.0,202.24
9994059,FRANCE,NONBIOJETK,2019,AVBUNK,-5930.815,FRANCE,France,FRA,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,5930.815,18741.3754
9994066,FRANCE,NONBIOJETK,2019,DOMESAIR,1671.095,FRANCE,France,FRA,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,1671.095,5280.6602
10114040,GABON,NONBIOJETK,2019,AVBUNK,-30.392,GABON,Gabon,GAB,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,30.392,96.03872
10114044,GABON,NONBIOJETK,2019,DOMESAIR,1.163,GABON,Gabon,GAB,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,1.163,3.6750800000000003
10334704,GEORGIA,NONBIOJETK,2019,AVBUNK,-101.072,GEORGIA,Georgia,GEO,NONOECD,EUROPE,NO,country,UNEUROPE,EURASIA,101.072,319.38752
10334709,GEORGIA,NONBIOJETK,2019,DOMESAIR,0.600,GEORGIA,Georgia,GEO,NONOECD,EUROPE,NO,country,UNEUROPE,EURASIA,0.6,1.896
10503817,GERMANY,NONBIOJETK,2019,AVBUNK,-9532.000,GERMANY,Germany,DEU,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,9532.0,30121.120000000003
10503824,GERMANY,NONBIOJETK,2019,DOMESAIR,707.000,GERMANY,Germany,DEU,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,707.0,2234.12
10623202,GHANA,NONBIOJETK,2019,AVBUNK,-231.000,GHANA,Ghana,GHA,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,231.0,729.96
10623207,GHANA,NONBIOJETK,2019,DOMESAIR,16.262,GHANA,Ghana,GHA,NONOECD,AFRICA,NO,country,AFRICA,AFRICA,16.262,51.38792
10756582,GIBRALTAR,NONBIOJETK,2019,AVBUNK,-7.999,GIBRALTAR,Gibraltar,GIB,NONOECD,EUROPE,NO,country,UNEUROPE,EURASIA,7.999,25.27684
10855279,GREECE,NONBIOJETK,2019,AVBUNK,-1100.751,GREECE,Greece,GRC,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,1100.751,3478.37316
10855286,GREECE,NONBIOJETK,2019,DOMESAIR,216.539,GREECE,Greece,GRC,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,216.539,684.26324
10969517,GUATEMALA,NONBIOJETK,2019,AVBUNK,-96.473,GUATEMALA,Guatemala,GTM,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,96.473,304.85468000000003
10969523,GUATEMALA,NONBIOJETK,2019,DOMESAIR,1.916,GUATEMALA,Guatemala,GTM,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,1.916,6.05456
11105899,GUYANA,NONBIOJETK,2019,AVBUNK,-21.428,GUYANA,Guyana,GUY,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,21.428,67.71248
11241095,HAITI,NONBIOJETK,2019,AVBUNK,-22.323,HAITI,Haiti,HTI,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,22.323,70.54068000000001
11376734,HONDURAS,NONBIOJETK,2019,AVBUNK,-47.668,HONDURAS,Honduras,HND,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,47.668,150.63088
11376738,HONDURAS,NONBIOJETK,2019,DOMESAIR,8.741,HONDURAS,Honduras,HND,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,8.741,27.62156
11512007,HONGKONG,NONBIOJETK,2019,AVBUNK,-6499.847,HONGKONG,Hong Kong,HKG,NONOECD,ASIAPAC,NO,country,UNASIA,CHINAREG,6499.847,20539.51652
11512012,HONGKONG,NONBIOJETK,2019,DOMESAIR,3.545,HONGKONG,Hong Kong,HKG,NONOECD,ASIAPAC,NO,country,UNASIA,CHINAREG,3.545,11.2022
11640046,HUNGARY,NONBIOJETK,2019,AVBUNK,-270.000,HUNGARY,Hungary,HUN,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,270.0,853.2
11725099,ICELAND,NONBIOJETK,2019,AVBUNK,-303.308,ICELAND,Iceland,ISL,OECD,EUROPE,NO,country,UNEUROPE,OECDEUR,303.308,958.4532800000001
11725107,ICELAND,NONBIOJETK,2019,DOMESAIR,8.441,ICELAND,Iceland,ISL,OECD,EUROPE,NO,country,UNEUROPE,OECDEUR,8.441,26.673560000000002
11842019,INDIA,NONBIOJETK,2019,AVBUNK,-3979.128,INDIA,India,IND,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,3979.128,12574.04448
11842026,INDIA,NONBIOJETK,2019,DOMESAIR,4019.872,INDIA,India,IND,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,4019.872,12702.79552
11986824,INDONESIA,NONBIOJETK,2019,AVBUNK,-1401.489,INDONESIA,Indonesia ,IDN,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,1401.489,4428.70524
11986829,INDONESIA,NONBIOJETK,2019,DOMESAIR,2588.697,INDONESIA,Indonesia ,IDN,NONOECD,ASIAPAC,NO,country,UNASIA,ASIA,2588.697,8180.282520000001
12129119,IRAN,NONBIOJETK,2019,AVBUNK,-799.118,IRAN,Islamic republic of Iran,IRN,NONOECD,MIDDLE EAST,NO,country,UNASIA,MIDEAST,799.118,2525.2128800000005
12129123,IRAN,NONBIOJETK,2019,DOMESAIR,752.623,IRAN,Islamic republic of Iran,IRN,NONOECD,MIDDLE EAST,NO,country,UNASIA,MIDEAST,752.623,2378.28868
12267637,IRAQ,NONBIOJETK,2019,AVBUNK,-601.670,IRAQ,Iraq,IRQ,NONOECD,MIDDLE EAST,NO,country,UNASIA,MIDEAST,601.67,1901.2772
12267641,IRAQ,NONBIOJETK,2019,DOMESAIR,42.190,IRAQ,Iraq,IRQ,NONOECD,MIDDLE EAST,NO,country,UNASIA,MIDEAST,42.19,133.3204
12366835,IRELAND,NONBIOJETK,2019,AVBUNK,-1054.220,IRELAND,Ireland,IRL,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,1054.22,3331.3352000000004
12366842,IRELAND,NONBIOJETK,2019,DOMESAIR,4.979,IRELAND,Ireland,IRL,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,4.979,15.733640000000001
12479414,ISRAEL,NONBIOJETK,2019,AVBUNK,-1121.763,ISRAEL,Israel,ISR,OECD,ASIAPAC,NO,country,UNASIA,OECDAO,1121.763,3544.77108
12479419,ISRAEL,NONBIOJETK,2019,DOMESAIR,28.763,ISRAEL,Israel,ISR,OECD,ASIAPAC,NO,country,UNASIA,OECDAO,28.763,90.89108
12592232,ITALY,NONBIOJETK,2019,AVBUNK,-3864.040,ITALY,Italy,ITA,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,3864.04,12210.3664
12592240,ITALY,NONBIOJETK,2019,DOMESAIR,880.760,ITALY,Italy,ITA,OECD,EUROPE,YES,country,UNEUROPE,OECDEUR,880.76,2783.2016
12712925,JAMAICA,NONBIOJETK,2019,AVBUNK,-216.204,JAMAICA,Jamaica,JAM,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,216.204,683.20464
12712931,JAMAICA,NONBIOJETK,2019,DOMESAIR,1.316,JAMAICA,Jamaica,JAM,NONOECD,AMERICA,NO,country,UNAMERICAS,LATAMER,1.316,4.1585600000000005
12821406,JAPAN,NONBIOJETK,2019,AVBUNK,-5859.534,JAPAN,Japan,JPN,OECD,ASIAPAC,NO,country,UNASIA,OECDAO,5859.534,18516.12744
