acft_icao;acft_class;seymour_proxy
B737;NB;B737
A319;NB;A319
A332;WB;A332
A333;WB;A333
B738;NB;B738
A321;NB;A321
B752;NB;B752
A20N;NB;A20N
A21N;NB;A21N
B763;WB;B763
CRJ2;RJ;CRJ2
A320;NB;A320
B753;NB;B753
B789;WB;B789
DH8D;TP;DH8D
E190;RJ;E190
B772;WB;B772
E145;RJ;E145
B735;NB;B735
AT75;TP;AT72
BCS3;NB;BCS3
A343;WB;A343
A346;WB;A346
B744;WB;B744
B788;WB;B788
A318;NB;A318
B77L;WB;B77L
CRJ9;RJ;CRJ9
B733;NB;B733
RJ1H;RJ;RJ1H
CRJ7;RJ;CRJ7
E195;RJ;E195
BCS1;NB;BCS1
B739;NB;B739
B748;WB;B748
B77W;WB;B77W
A359;WB;A359
A388;WB;A388
B734;NB;B734
B736;NB;B736
AT43;TP;AT43
AT72;TP;AT72
CRJX;RJ;CRJX
E75S;RJ;E75S
DH8A;TP;DH8A
AT76;TP;AT72
RJ85;RJ;RJ85
SF34;TP;SF34
E75L;RJ;E75L
E170;RJ;E170
B764;WB;B764
B712;NB;B712
DH8C;RJ;DH8C
AT45;TP;AT43
DH8B;TP;DH8B
