,departure_continent,departure_continent_name,inside,dep_lon,dep_lat,seats,ask,fuel_burn,co2,CO2 (Mt),ASK (Bn),Seats (Mn)
0,AF,Africa,False,17.7578122,11.5024338,90173935.38377295,307713348944.2296,7155537458.7978525,22611498369.801212,22.61149836980121,307.7133489442296,90.17393538377296
1,AF,Africa,True,17.7578122,11.5024338,93709655.90576866,99373800830.1006,2684835841.9723697,8484081260.6326885,8.484081260632689,99.37380083010059,93.70965590576867
2,AS,Asia,False,89.2343748,51.2086975,232631149.40321252,1230999472194.7163,30837911279.802372,97447799644.17549,97.44779964417549,1230.9994721947164,232.63114940321256
3,AS,Asia,True,89.2343748,51.2086975,2012099795.1779869,2876875568992.0854,73260732321.12828,231503914134.76535,231.50391413476535,2876.8755689920854,2012.0997951779868
4,EU,Europe,False,10.0,51.0,293913178.11774063,1414880515989.6511,34555668132.63399,109195911299.1234,109.1959112991234,1414.880515989651,293.91317811774064
5,EU,Europe,True,10.0,51.0,1023187863.6901423,1107244282780.349,27540384574.13265,87027615254.25917,87.02761525425917,1107.244282780349,1023.1878636901423
6,NA,North America,False,-109.0,51.0000002,130696096.07852833,969288077874.4751,25031783221.896816,79100434981.19394,79.10043498119394,969.2880778744751,130.69609607852834
7,NA,North America,True,-109.0,51.0000002,1258925739.3240118,1811721383187.4707,45986478203.31131,145317271122.46375,145.31727112246375,1811.7213831874706,1258.9257393240118
8,OC,Oceania,False,173.7741688,-12.7725835,40279162.645825274,278676154012.2717,6930742003.013071,21901144729.521305,21.901144729521306,278.67615401227175,40.27916264582528
9,OC,Oceania,True,173.7741688,-12.7725835,128069866.37820727,148245157620.05045,3918830467.551455,12383504277.462597,12.383504277462597,148.24515762005043,128.06986637820728
10,SA,South America,False,-61.0006565,-21.0002179,30267930.431872647,183116169901.77142,4578752904.078829,14468859176.889101,14.4688591768891,183.11616990177143,30.267930431872646
11,SA,South America,True,-61.0006565,-21.0002179,235647431.18590537,236285453430.03973,6556288309.09409,20717871056.737328,20.717871056737327,236.28545343003972,235.64743118590536
