,group_col,seats,ask,fuel_burn,co2,CO2 (Mt),ASK (Bn),Seats (Mn),dep_lon,dep_lat,arr_lon,arr_lat,AV1,AV2
0,"('AF', 'AF')",93709655.90576866,99373800830.1006,2684941369.357404,8484414727.169397,8.484414727169398,99.37380083010059,93.70965590576867,17.7578122,11.5024338,17.7578122,11.5024338,AF,AF
1,"('AF', 'AS')",48262340.4822438,167518268417.73383,3999812713.671049,12639408175.200516,12.639408175200515,167.51826841773382,48.26234048224379,17.7578122,11.5024338,89.2343748,51.2086975,AF,AS
2,"('AF', 'EU')",126729404.86377126,400527427683.25757,9111768041.931383,28793187012.50317,28.79318701250317,400.52742768325754,126.72940486377126,17.7578122,11.5024338,10.0,51.0,AF,EU
3,"('AF', 'NA')",3767996.5356371496,34860907609.910965,890282839.0693511,2813293771.4591494,2.8132937714591497,34.86090760991097,3.76799653563715,17.7578122,11.5024338,-109.0,51.0000002,AF,NA
4,"('AF', 'OC')",469627.8719999999,4402077850.768952,113607535.66433844,358999812.6993095,0.3589998126993095,4.4020778507689515,0.4696278719999999,17.7578122,11.5024338,173.7741688,-12.7725835,AF,OC
5,"('AF', 'SA')",1118501.0138937153,8118016326.787969,195842297.75884208,618861660.917941,0.618861660917941,8.118016326787968,1.1185010138937153,17.7578122,11.5024338,-61.0006565,-21.0002179,AF,SA
6,"('AS', 'AS')",2012099795.1779869,2876875568992.0854,73265228201.25133,231518121115.9542,231.5181211159542,2876.8755689920854,2012.0997951779868,89.2343748,51.2086975,89.2343748,51.2086975,AS,AS
7,"('AS', 'EU')",307747268.6474287,1298075875658.8428,31272359086.011646,98820654711.79681,98.8206547117968,1298.0758756588427,307.7472686474287,89.2343748,51.2086975,10.0,51.0,AS,EU
8,"('AS', 'NA')",58014237.772974916,628814440940.2986,17208620250.046043,54379239990.1455,54.37923999014551,628.8144409402986,58.014237772974916,89.2343748,51.2086975,-109.0,51.0000002,AS,NA
9,"('AS', 'OC')",49986317.851168886,352095123795.42395,8777122129.8208,27735705930.233734,27.735705930233735,352.09512379542394,49.98631785116889,89.2343748,51.2086975,173.7741688,-12.7725835,AS,OC
10,"('AS', 'SA')",1252134.0526087622,15495235577.133652,418675859.7327168,1323015716.7553852,1.323015716755385,15.49523557713365,1.252134052608762,89.2343748,51.2086975,-61.0006565,-21.0002179,AS,SA
11,"('EU', 'EU')",1023187863.6901423,1107244282780.349,27540568780.697582,87028197347.00436,87.02819734700437,1107.244282780349,1023.1878636901423,10.0,51.0,10.0,51.0,EU,EU
12,"('EU', 'NA')",132987519.24750073,938120784135.9047,23769722006.696594,75112321541.16124,75.11232154116125,938.1207841359046,132.98751924750073,10.0,51.0,-109.0,51.0000002,EU,NA
13,"('EU', 'OC')",882955.6762926356,14536812820.302246,421429513.8098634,1331717263.6391685,1.3317172636391685,14.536812820302247,0.8829556762926356,10.0,51.0,173.7741688,-12.7725835,EU,OC
14,"('EU', 'SA')",19479130.800487988,178499603747.81418,4536325601.611124,14334788901.091154,14.334788901091153,178.49960374781418,19.479130800487987,10.0,51.0,-61.0006565,-21.0002179,EU,SA
15,"('NA', 'NA')",1258702041.3240118,1811640479926.943,45983671243.46931,145308401129.36304,145.30840112936303,1811.640479926943,1258.7020413240118,-109.0,51.0000002,-109.0,51.0000002,NA,NA
16,"('NA', 'OC')",28575539.248189032,179474798103.87753,4368562385.236007,13804657137.345781,13.80465713734578,179.47479810387753,28.57553924818903,-109.0,51.0000002,173.7741688,-12.7725835,NA,OC
17,"('NA', 'SA')",38044516.35275483,157290342861.70688,3826122478.8428335,12090547033.143354,12.090547033143356,157.29034286170688,38.044516352754826,-109.0,51.0000002,-61.0006565,-21.0002179,NA,SA
18,"('OC', 'OC')",128069866.37820727,148245157620.05045,3918998262.218641,12384034508.610905,12.384034508610904,148.24515762005043,128.06986637820728,173.7741688,-12.7725835,173.7741688,-12.7725835,OC,OC
19,"('OC', 'SA')",641578.6439999996,6829141290.100153,180665810.1970996,570903960.2228348,0.5709039602228347,6.829141290100154,0.6415786439999995,173.7741688,-12.7725835,-61.0006565,-21.0002179,OC,SA
20,"('SA', 'SA')",235647431.18590537,236285453430.03973,6556597598.551493,20718848411.422718,20.71884841142272,236.28545343003972,235.64743118590536,-61.0006565,-21.0002179,-61.0006565,-21.0002179,SA,SA
